,time,Open,High,Low,Close,Volume,SMA_20,SMA_50,EMA_20,MACD,MACD_Signal,RSI,Stoch,Stoch_Signal,BB_High,BB_Low,BB_Mid,ATR,OBV,Force_Index,Conversion_Line,Base_Line,Leading_Span_A,Leading_Span_B,Lagging_Span,Fib_Level 0.0,Fib_Level 0.236,Fib_Level 0.382,Fib_Level 0.5,Fib_Level 0.618,Fib_Level 0.786,Fib_Level 1.0
0,2024-06-03,115.78,118.01,115.52,117.41,7782256,,,,,,,,,,,,0.0,7782256,,,,,,136.55,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
1,2024-06-04,119.21,119.47,118.18,119.3,7019713,,,,,,,,,,,,0.0,14801969,,,,,,133.08,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
2,2024-06-05,120.07,124.27,119.81,120.16,6336780,,,,,,,,,,,,0.0,21138749,,,,,,132.08,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
3,2024-06-06,120.33,121.53,119.04,119.73,5222139,,,,,,,,,,,,0.0,15916610,,,,,,132.88,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
4,2024-06-07,120.93,121.79,120.5,121.79,3762372,,,,,,,,,,,,0.0,19678982,,,,,,131.78,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
5,2024-06-10,123.07,124.36,122.64,123.5,3785656,,,,,,,,,,,,0.0,23464638,,,,,,133.08,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
6,2024-06-11,123.76,125.64,122.73,125.64,6340276,,,,,,,,,,,,0.0,29804914,,,,,,130.99,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
7,2024-06-12,127.02,131.78,126.92,131.09,11246768,,,,,,,,,,,,0.0,41051682,,,,,,127.02,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
8,2024-06-13,132.78,132.88,129.1,129.1,8167546,,,,,,,,,,,,0.0,32884136,,124.19999999999999,,,,125.13,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
9,2024-06-14,129.2,131.69,128.11,130.1,6425220,,,,,,,,,,,,0.0,39309356,,125.53,,,,123.24,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
10,2024-06-17,130.1,130.49,127.61,127.91,4890848,,,,,,,,,,,,0.0,34418508,,125.96000000000001,,,,124.63,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
11,2024-06-18,127.91,128.81,127.12,127.12,6694763,,,,,,,,,,,,0.0,27723745,,125.96000000000001,,,,125.13,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
12,2024-06-19,127.12,131.88,125.73,130.59,9684926,,,,,,,,,,,,0.0,37408671,,126.69,,,,124.14,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
13,2024-06-20,132.08,134.76,130.89,132.38,10482529,,,,,,77.32092879696695,87.62993762993766,,,,,3.424285714285712,47891200,11536160.94667037,128.7,,,,127.12,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
14,2024-06-21,132.98,135.16,132.38,135.16,7663338,,,,,,80.60256325109526,100.0,,,,,3.3782653061224472,55554538,12931577.90286032,128.945,,,,128.11,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
15,2024-06-24,134.07,134.57,131.09,131.19,13202385,,,,,,65.93076221208624,75.37220843672455,87.66738202222074,,,,3.4276749271137,42352153,3596571.281023134,130.445,,,,127.12,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
16,2024-06-25,130.1,130.2,127.71,129.1,13723703,,,,,,59.763259944544494,62.40694789081883,79.25971877584779,,,,3.4314124323198647,28628450,-1014730.2262658918,130.445,,,,127.71,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
17,2024-06-26,130.1,130.89,128.51,130.89,7158131,,,,,,62.95916194521333,70.87312414733962,69.55076015829432,,,,3.356311544297017,35786581,960667.590343513,130.445,,,,123.94,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
18,2024-06-27,130.39,133.17,129.9,131.88,6409612,,,,,,64.63234618155576,73.80191693290733,69.02732965702192,,,,3.350146433990086,42196193,1729931.6317230195,130.445,,,,122.35,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
19,2024-06-28,131.88,131.88,129.5,129.6,6641381,127.18199999999999,,127.60189755401268,,,58.12087072510747,55.2695092518101,66.64818344401903,137.17358766162812,117.19041233837186,127.18199999999999,3.280850260133651,35554812,-680394.1270945553,130.445,,,,117.78,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
20,2024-07-01,129.5,129.5,127.61,127.71,6386361,127.697,,127.61219302505909,,,53.32495417085517,20.99681866383872,50.022748282852056,136.62606960438768,118.76793039561234,127.697,3.188646670124104,29168451,-2307512.4360810476,130.445,,,,119.97,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
21,2024-07-02,127.71,131.19,126.62,127.12,6735345,128.088,,127.56531749886298,,,51.885620736554024,14.740190880169688,30.335506265272837,136.1553058699915,120.02069413000847,128.088,3.2873147651152386,22433106,-2545561.1666408875,130.89,,,,121.16,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
22,2024-07-03,129.6,131.88,129.2,130.1,7642345,128.58499999999998,,127.8067158323046,,,58.04532943164013,46.34146341463408,27.359490986214166,135.81911224684822,121.35088775315174,128.58499999999998,3.3925065676070068,30075451,1071545.8714506566,130.89,,,,120.56,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
23,2024-07-04,131.19,134.86,131.19,134.86,8129152,129.3415,,128.47845718160892,,,65.61718168512564,96.81866383881247,52.63343937787207,135.84043306628095,122.84256693371904,129.3415,3.4901846699207932,38204603,6446291.249814872,130.74,,,,126.02,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
24,2024-07-05,135.16,138.74,135.16,137.74,7807749,130.139,,129.36050887859855,,,69.23501640334375,92.31360491929286,78.4912440575798,136.65007026532507,123.62792973467495,130.139,3.5180286220693078,46012352,8737723.51698417,132.68,,,,129.1,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
25,2024-07-08,137.54,138.64,136.55,138.64,5876745,130.89600000000002,,130.24426993777965,3.404376380896821,,70.28718597843061,99.23136049192911,96.12120975001147,137.6591335932392,124.13286640676083,130.89600000000002,3.416026577635784,51889097,8245058.800272128,132.68,127.13,,,128.81,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
26,2024-07-09,138.14,138.34,135.06,136.55,9689262,131.4415,,130.84481565799112,3.4888595054185316,,64.74919921648824,81.93069306930695,91.15855282684298,138.18079751532017,124.70220248467982,131.4415,3.4277389649475127,42199835,4174256.4602332874,132.68,128.46,,,128.61,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
27,2024-07-10,135.06,136.05,133.08,133.08,6309470,131.541,,131.05769035723006,3.2384817881016943,,56.75382547649336,53.30033003300335,78.15412786474647,138.31527162136274,124.76672837863725,131.541,3.4307576103084045,35890365,450239.6944856766,132.68,128.89000000000001,,,127.81,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
28,2024-07-11,133.17,134.47,131.59,132.08,6857179,131.69,,131.15505318035102,2.9256390547269575,,54.659123513727415,45.0495049504951,60.093509350935136,138.37343923440625,125.00656076559375,131.69,3.391417781000661,29033186,-593677.2618694201,132.68,128.89000000000001,,,129.7,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
29,2024-07-12,131.29,135.06,131.29,132.88,3562395,131.829,,131.31933382984138,2.711011396900858,,56.05644693523968,51.65016501650155,50.0,138.48998160934264,125.16801839065737,131.829,3.418459368072043,32595581,-101735.36731665446,132.68,129.62,,,129.6,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
30,2024-07-15,132.58,133.87,131.39,131.78,3074934,132.02249999999998,,131.3632067984279,2.4242118200068887,,53.60997620932597,42.57425742574253,46.424642464246396,138.43714535262868,125.60785464737128,132.02249999999998,3.3514265560668983,29520647,-570405.6576999871,133.97,130.69,,,130.59,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
31,2024-07-16,132.68,133.57,131.39,133.08,4007693,132.32049999999998,,131.52671091286334,2.275588654975934,,56.05114267113908,53.30033003300335,49.17491749174914,138.33790965864887,126.30309034135108,132.32049999999998,3.267753230633549,33528340,255366.7076857319,134.965,130.735,,,132.58,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
32,2024-07-17,133.08,133.17,129.0,130.99,6980219,132.3405,,131.47559558782874,1.9664897233422494,,51.37080894227485,36.05610561056108,43.97689768976898,138.3373941127888,126.34360588721118,132.3405,3.3321994284454375,26548121,-1865208.2091265186,133.87,132.235,,,132.88,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
33,2024-07-18,130.49,130.49,126.92,127.02,10828773,132.0725,,131.05125315089268,1.385212899716521,2.432298975246612,43.8761810565185,3.300330033003229,30.885588558855886,138.50186038809466,125.64313961190531,132.0725,3.384899469270764,15719348,-7740211.152108464,132.78,132.235,,,132.18,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
34,2024-07-19,127.71,128.41,125.13,125.13,6581002,131.571,,130.4873242793791,0.7632414521497424,2.0984874706272385,40.822725210099065,0.0,13.118811881188103,138.50380578121158,124.63819421878841,131.571,3.377406650037138,9138346,-8411337.241807256,131.735,131.935,,,130.59,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
35,2024-07-22,125.13,125.13,122.35,123.24,6242427,131.1735,,129.79710291943823,0.11647474591197238,1.7020849256841855,37.97654155841736,5.430140329469187,2.910156787490805,139.0019002835829,123.3450997164171,131.1735,3.334734746463057,2895919,-8895172.925834792,129.2,130.54500000000002,,,131.59,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
36,2024-07-23,124.04,126.62,123.94,124.63,5323805,130.95,,129.30499787949174,-0.28069546263230905,1.3055288480208866,41.22226457492279,13.910921293471624,6.44702054098027,139.2438314427049,122.65616855729508,130.95,3.3379679788585537,8219724,-6567278.372144108,128.70499999999998,130.54500000000002,,,132.38,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
37,2024-07-24,124.63,125.73,123.14,125.13,4160841,130.662,,128.90737903382586,-0.5487838543677697,0.9346663075431554,42.390128570801714,16.961561928004873,12.100874516981895,139.33550125381905,121.98849874618097,130.662,3.2845416946543717,12380565,-5331892.818980664,128.70499999999998,130.54500000000002,,,132.78,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
38,2024-07-25,123.34,124.63,123.24,124.14,2569074,130.275,,128.45334293536627,-0.8315450290395034,0.5814240402266236,40.66717605099398,10.988336402701087,13.953606541392526,139.3767108281905,121.1732891718095,130.275,3.184931573607631,9811491,-4933534.310554854,128.11,130.54500000000002,,,133.87,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
39,2024-07-26,125.03,127.12,123.54,127.12,3959362,130.151,,128.3263578939028,-0.8058844675539376,0.3039623386705114,47.57459956943646,29.831144465290855,19.260347598665604,139.3531364910547,120.94886350894532,130.151,3.2131507469213716,13770853,-2543186.7290470153,127.96,130.54500000000002,,,132.08,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
40,2024-07-29,129.1,129.7,128.11,128.11,4867859,130.171,,128.3057523801978,-0.6976218114891282,0.10364550863858352,49.67085514657318,42.04379562043805,27.621092162809997,139.35354626996238,120.98845373003759,130.171,3.167925693569844,18638712,-1491419.9948974357,127.75999999999999,130.54500000000002,,,129.7,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
41,2024-07-30,128.11,128.61,126.12,127.12,2383126,130.171,,128.19282358208372,-0.6838248950681134,-0.05384857210275588,47.62026454832766,37.529504327301396,36.468148137676764,139.35354626996238,120.98845373003759,130.171,3.1195024297434273,16255586,-1615402.1013406622,126.42,130.54500000000002,,,131.19,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
42,2024-07-31,126.42,127.71,125.73,127.71,2875191,130.05149999999998,,128.14684038379002,-0.6181569418030222,-0.16671024604280915,48.97229011145147,42.171518489378414,40.581606145705955,139.29662471522153,120.80637528477843,130.05149999999998,3.0381093990474675,19130777,-1142292.845434858,126.02499999999999,130.54500000000002,,,130.39,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
43,2024-08-01,128.71,128.81,123.24,123.94,6904015,129.5055,,127.74618891866716,-0.8604039078568206,-0.30544897840561147,41.5857629673648,13.80208333333335,31.16770205000439,138.8396105093094,120.17138949069061,129.5055,3.218958727686935,12226762,-4697413.374658446,126.02499999999999,130.54500000000002,,,129.1,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
44,2024-08-02,121.26,123.94,120.17,122.35,9975015,128.736,,127.23226616450839,-1.1672309734789508,-0.47780537742027934,38.91953094834412,16.268656716417865,24.080752846376544,137.76018616829236,119.7118138317076,128.736,3.2583188185664396,2251747,-6292107.728278672,124.935,129.455,,,129.7,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
45,2024-08-05,120.26,122.05,116.59,117.78,10450171,127.69300000000001,,126.33205033931712,-1.7588791761916838,-0.7340201371745603,32.474815865942176,7.177322074788895,12.416020708180037,136.71926633775004,118.66673366225,127.69300000000001,3.437010331525979,-8198424,-12215703.977095995,123.145,127.665,,,131.39,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
46,2024-08-06,119.17,121.06,118.97,119.97,6748144,126.86399999999999,,125.72614078319168,-2.0276761535171346,-0.9927513404430752,37.79102174188693,24.316546762589887,15.92084185126555,135.5221854911984,118.20581450880158,126.86399999999999,3.425795307845552,-1450280,-8359398.357510856,123.145,127.665,,,132.08,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
47,2024-08-07,120.17,121.16,119.37,121.16,2832328,126.268,,125.29127023241152,-2.120235880441456,-1.2182482484427515,40.530801358313084,34.85888634630052,22.117585061226436,134.77227563052836,117.76372436947166,126.268,3.3089527858565835,1382048,-6683702.832152164,123.145,127.665,,,130.2,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
48,2024-08-08,120.76,121.56,120.07,120.56,2663832,125.69200000000001,,124.84067306741994,-2.2164552006192935,-1.41788963887806,39.5841866248275,30.28222730739896,29.819220138763125,134.10365762498677,117.28034237501325,125.69200000000001,3.179027586866828,-1281784,-5957216.598987567,123.145,127.665,,,131.98,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
49,2024-08-09,121.56,126.02,121.16,126.02,5511755,125.349,127.6276,124.95298991814185,-1.8310264036005606,-1.5005169918225603,50.83681877802642,71.92982456140354,45.69031273836767,133.09325180375728,117.60474819624272,125.349,3.3419541878049115,4229971,-807016.7562750633,122.7,127.665,,,133.67,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
50,2024-08-12,126.02,129.3,125.33,129.1,6204408,125.215,127.86139999999999,125.3479432592712,-1.2624878714223513,-1.4529111677425186,55.83409531985907,95.42334096109843,65.87846427663364,132.59362182253554,117.83637817746447,125.215,3.3868146029617043,10434379,2038210.8717642296,122.94500000000001,127.615,,,134.27,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
51,2024-08-13,128.81,129.3,127.12,128.81,4110939,125.00150000000001,128.0516,125.67766294886442,-0.8257982764517067,-1.3274885894843562,55.26449324456265,93.21128909229606,86.85481820493267,131.670449767392,118.33255023260803,125.00150000000001,3.3006135598930118,6323440,1576727.5600836303,122.94500000000001,127.465,129.905,,134.37,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
52,2024-08-14,129.8,130.59,128.61,128.61,2869469,124.88250000000001,128.2206,125.95693314421067,-0.49020616328152755,-1.1600321042437904,54.848911203877776,85.85714285714292,91.4972576368458,131.19519158125104,118.56980841874899,124.88250000000001,3.2062840199006533,3453971,1269495.937214545,123.59,126.32000000000001,130.57,,133.08,97.8,111.5352,120.0324,126.9,133.76760000000002,143.5452,156.0
