Index,Direction_Accuracy,MSE
10,0.6,0.001746910378237884
11,0.6,0.0017341481388126058
12,0.6,0.0011149272854669905
13,0.6,0.0009252419561739465
14,0.7,0.00044644116479997743
15,0.6,0.00010507403183186381
16,0.5,0.00010196943673921848
17,0.4,9.674420019011127e-05
18,0.5,8.116540381905193e-05
19,0.4,5.9606483576589265e-05
20,0.4,5.67324167224617e-05
21,0.4,5.635291760713991e-05
22,0.4,6.408827269576082e-05
23,0.3,5.77036707372899e-05
24,0.3,5.567116136378073e-05
25,0.4,0.00013376250653166156
26,0.4,0.00013654308991628382
27,0.5,0.00014640260257218693
28,0.4,0.00016225308088950878
29,0.5,0.00016180716707014827
30,0.5,0.0001612686820022415
31,0.4,0.00016350601071321387
32,0.4,0.0001558923711496393
33,0.5,0.00015597461489408364
34,0.4,0.00015951999190528843
35,0.3,5.5056546033734825e-05
