Date,Open,High,Low,Close,Volume,Dividends,Stock Splits
2024-06-05 00:00:00+07:00,44100.0,44750.0,44100.0,44200.0,1611400,0.0,0.0
2024-06-06 00:00:00+07:00,44300.0,44350.0,43700.0,43700.0,2018500,0.0,0.0
2024-06-07 00:00:00+07:00,43900.0,44000.0,43200.0,43500.0,1841700,0.0,0.0
2024-06-10 00:00:00+07:00,43500.0,43900.0,43400.0,43450.0,4042400,0.0,0.0
2024-06-11 00:00:00+07:00,43300.0,43450.0,42550.0,43200.0,5110000,0.0,0.0
2024-06-12 00:00:00+07:00,42800.0,43500.0,42500.0,43300.0,7292500,0.0,0.0
2024-06-13 00:00:00+07:00,43300.0,43500.0,42900.0,43200.0,2319000,0.0,0.0
2024-06-14 00:00:00+07:00,43200.0,43250.0,42000.0,42000.0,7064611,0.0,0.0
2024-06-17 00:00:00+07:00,42600.0,42950.0,42000.0,42000.0,6819600,0.0,0.0
2024-06-18 00:00:00+07:00,42300.0,42950.0,42100.0,42100.0,13825400,0.0,0.0
2024-06-19 00:00:00+07:00,42350.0,42450.0,41450.0,41500.0,7683200,0.0,0.0
2024-06-20 00:00:00+07:00,41550.0,41800.0,41350.0,41450.0,2400100,0.0,0.0
2024-06-21 00:00:00+07:00,41450.0,41650.0,41150.0,41650.0,2755900,0.0,0.0
2024-06-24 00:00:00+07:00,41650.0,42300.0,41100.0,41100.0,4217800,0.0,0.0
2024-06-25 00:00:00+07:00,41150.0,42000.0,41150.0,41200.0,4573200,0.0,0.0
2024-06-26 00:00:00+07:00,41300.0,41700.0,41150.0,41200.0,1951800,0.0,0.0
2024-06-27 00:00:00+07:00,41100.0,41400.0,41000.0,41000.0,1427100,0.0,0.0
2024-06-28 00:00:00+07:00,41100.0,41350.0,40900.0,41200.0,1785000,0.0,0.0
2024-07-01 00:00:00+07:00,41400.0,41400.0,41050.0,41350.0,3472300,0.0,0.0
2024-07-02 00:00:00+07:00,41400.0,41750.0,41300.0,41600.0,5123400,0.0,0.0
2024-07-03 00:00:00+07:00,41600.0,41650.0,41250.0,41350.0,10713000,0.0,0.0
2024-07-04 00:00:00+07:00,41500.0,41700.0,41300.0,41400.0,1214300,0.0,0.0
2024-07-05 00:00:00+07:00,41400.0,41450.0,41100.0,41400.0,1560400,0.0,0.0
2024-07-08 00:00:00+07:00,41400.0,41400.0,40350.0,40400.0,3603600,0.0,0.0
2024-07-09 00:00:00+07:00,40500.0,40950.0,40150.0,40800.0,2401700,0.0,0.0
2024-07-10 00:00:00+07:00,40950.0,40950.0,40600.0,40600.0,1235400,0.0,0.0
2024-07-11 00:00:00+07:00,40900.0,41750.0,40700.0,41100.0,2862000,0.0,0.0
2024-07-12 00:00:00+07:00,41700.0,42800.0,41650.0,41750.0,3312000,0.0,0.0
2024-07-15 00:00:00+07:00,41750.0,42250.0,41300.0,41350.0,6211900,0.0,0.0
2024-07-16 00:00:00+07:00,41350.0,41700.0,40700.0,41050.0,1863400,0.0,0.0
2024-07-17 00:00:00+07:00,41000.0,41000.0,40150.0,40600.0,2726000,0.0,0.0
2024-07-18 00:00:00+07:00,40600.0,40600.0,40150.0,40550.0,2142300,0.0,0.0
2024-07-19 00:00:00+07:00,40700.0,41100.0,40300.0,40750.0,1823000,0.0,0.0
2024-07-22 00:00:00+07:00,40750.0,41000.0,40200.0,40750.0,1776000,0.0,0.0
2024-07-23 00:00:00+07:00,40750.0,40850.0,40400.0,40850.0,1521300,0.0,0.0
2024-07-24 00:00:00+07:00,40800.0,41000.0,40450.0,40900.0,4057400,0.0,0.0
2024-07-25 00:00:00+07:00,41300.0,42600.0,40850.0,41600.0,14411200,0.0,0.0
2024-07-26 00:00:00+07:00,41900.0,42150.0,41250.0,41600.0,1376600,0.0,0.0
2024-07-29 00:00:00+07:00,41600.0,41600.0,40750.0,41600.0,2740100,0.0,0.0
2024-07-30 00:00:00+07:00,41950.0,42200.0,41000.0,42200.0,2426200,0.0,0.0
2024-07-31 00:00:00+07:00,42300.0,42300.0,41550.0,42300.0,24344800,0.0,0.0
2024-08-01 00:00:00+07:00,42100.0,42300.0,41500.0,42100.0,3279200,0.0,0.0
2024-08-02 00:00:00+07:00,42150.0,42200.0,40800.0,42000.0,2329600,0.0,0.0
2024-08-05 00:00:00+07:00,41000.0,41650.0,40400.0,41300.0,18632800,0.0,0.0
2024-08-06 00:00:00+07:00,41500.0,41550.0,40550.0,41300.0,1832300,0.0,0.0
2024-08-07 00:00:00+07:00,41750.0,43500.0,41750.0,42350.0,5378500,0.0,0.0
2024-08-08 00:00:00+07:00,42050.0,42200.0,41650.0,41800.0,1616300,0.0,0.0
2024-08-09 00:00:00+07:00,41800.0,42000.0,41200.0,41200.0,2266900,0.0,0.0
2024-08-12 00:00:00+07:00,41100.0,41200.0,40600.0,40600.0,1806700,0.0,0.0
2024-08-13 00:00:00+07:00,40650.0,41200.0,40650.0,40700.0,6519600,0.0,0.0
2024-08-14 00:00:00+07:00,40750.0,41200.0,40750.0,40800.0,1377400,0.0,0.0
2024-08-15 00:00:00+07:00,41000.0,41150.0,40800.0,40800.0,1213500,0.0,0.0
2024-08-16 00:00:00+07:00,40900.0,41600.0,40900.0,41150.0,7257000,0.0,0.0
2024-08-19 00:00:00+07:00,41300.0,41550.0,41050.0,41150.0,6584900,0.0,0.0
2024-08-20 00:00:00+07:00,41150.0,42200.0,41000.0,41700.0,7736500,0.0,0.0
2024-08-21 00:00:00+07:00,41600.0,42000.0,41500.0,41850.0,1734500,0.0,0.0
2024-08-22 00:00:00+07:00,41850.0,42350.0,41550.0,41550.0,2379500,0.0,0.0
2024-08-23 00:00:00+07:00,41600.0,42000.0,41500.0,41550.0,7755778,0.0,0.0
2024-08-26 00:00:00+07:00,41650.0,42350.0,41650.0,42150.0,9637500,0.0,0.0
2024-08-28 00:00:00+07:00,45500.0,46100.0,44400.0,44400.0,4933500,0.0,0.0
2024-08-29 00:00:00+07:00,44250.0,44800.0,44050.0,44200.0,3279900,0.0,0.0
2024-08-30 00:00:00+07:00,44550.0,45200.0,44200.0,44200.0,3398500,0.0,0.0
2024-09-04 00:00:00+07:00,43600.0,44300.0,43300.0,44000.0,8208700,0.0,0.0
2024-09-05 00:00:00+07:00,44550.0,45950.0,44400.0,45050.0,4519500,0.0,0.0
2024-09-06 00:00:00+07:00,45350.0,45350.0,44600.0,44650.0,7153900,0.0,0.0
2024-09-09 00:00:00+07:00,44200.0,44500.0,43450.0,43700.0,7300700,0.0,0.0
2024-09-10 00:00:00+07:00,43700.0,43900.0,42600.0,43000.0,4646800,0.0,0.0
2024-09-11 00:00:00+07:00,42650.0,43000.0,42100.0,43000.0,3123200,0.0,0.0
2024-09-12 00:00:00+07:00,43050.0,43250.0,42550.0,42900.0,2190601,0.0,0.0
2024-09-13 00:00:00+07:00,42900.0,42950.0,42500.0,42900.0,1572300,0.0,0.0
2024-09-16 00:00:00+07:00,42700.0,43600.0,42050.0,42050.0,7849200,0.0,0.0
2024-09-17 00:00:00+07:00,42050.0,43200.0,42050.0,42900.0,4915701,0.0,0.0
2024-09-18 00:00:00+07:00,42900.0,43300.0,42650.0,42650.0,2835900,0.0,0.0
2024-09-19 00:00:00+07:00,42800.0,43200.0,42700.0,42900.0,2291000,0.0,0.0
2024-09-20 00:00:00+07:00,43000.0,43650.0,42300.0,42300.0,3975500,0.0,0.0
2024-09-23 00:00:00+07:00,42900.0,42900.0,42350.0,42350.0,4514400,0.0,0.0
2024-09-24 00:00:00+07:00,42400.0,42650.0,42350.0,42550.0,3887700,0.0,0.0
2024-09-25 00:00:00+07:00,42750.0,42900.0,42400.0,42600.0,6092276,0.0,0.0
2024-09-26 00:00:00+07:00,42600.0,43100.0,42600.0,42600.0,2817500,0.0,0.0
2024-09-27 00:00:00+07:00,42900.0,42900.0,42450.0,42500.0,2761700,0.0,0.0
2024-09-30 00:00:00+07:00,42400.0,42600.0,42000.0,42000.0,2993300,0.0,0.0
2024-10-01 00:00:00+07:00,42050.0,42750.0,42050.0,42300.0,1935600,0.0,0.0
2024-10-02 00:00:00+07:00,42350.0,42400.0,42050.0,42050.0,15319600,0.0,0.0
2024-10-03 00:00:00+07:00,42100.0,42450.0,41350.0,41350.0,3501400,0.0,0.0
2024-10-04 00:00:00+07:00,41350.0,41350.0,40900.0,41000.0,2193700,0.0,0.0
2024-10-07 00:00:00+07:00,41100.0,41550.0,40850.0,40850.0,1673400,0.0,0.0
2024-10-08 00:00:00+07:00,41050.0,41050.0,40600.0,40900.0,2668700,0.0,0.0
2024-10-09 00:00:00+07:00,41050.0,41600.0,41000.0,41600.0,6991532,0.0,0.0
2024-10-10 00:00:00+07:00,41600.0,41650.0,41300.0,41400.0,1512200,0.0,0.0
2024-10-11 00:00:00+07:00,41400.0,41950.0,41350.0,41800.0,1709800,0.0,0.0
2024-10-14 00:00:00+07:00,42500.0,43400.0,42150.0,42150.0,9435900,0.0,0.0
2024-10-15 00:00:00+07:00,42250.0,42500.0,41550.0,41650.0,5497000,0.0,0.0
2024-10-16 00:00:00+07:00,41500.0,41800.0,41450.0,41500.0,1211100,0.0,0.0
2024-10-17 00:00:00+07:00,41750.0,41800.0,41450.0,41550.0,1030100,0.0,0.0
2024-10-18 00:00:00+07:00,41700.0,42200.0,41700.0,41800.0,1215800,0.0,0.0
2024-10-21 00:00:00+07:00,41850.0,42900.0,41850.0,42250.0,2219200,0.0,0.0
2024-10-22 00:00:00+07:00,42600.0,42600.0,42200.0,42200.0,2068100,0.0,0.0
2024-10-23 00:00:00+07:00,42700.0,44300.0,42700.0,43200.0,5014800,0.0,0.0
2024-10-24 00:00:00+07:00,43000.0,43100.0,42050.0,42050.0,7777900,0.0,0.0
2024-10-25 00:00:00+07:00,42200.0,42300.0,41550.0,41550.0,2067900,0.0,0.0
2024-10-28 00:00:00+07:00,41600.0,41750.0,41450.0,41450.0,8736600,0.0,0.0
2024-10-29 00:00:00+07:00,41500.0,41700.0,41300.0,41350.0,3285000,0.0,0.0
2024-10-31 00:00:00+07:00,41400.0,41700.0,41050.0,41550.0,1827900,0.0,0.0
2024-11-01 00:00:00+07:00,41550.0,41600.0,41100.0,41200.0,1402100,0.0,0.0
2024-11-04 00:00:00+07:00,41400.0,41500.0,41050.0,41200.0,7544200,0.0,0.0
2024-11-06 00:00:00+07:00,41500.0,42000.0,41400.0,41800.0,9118600,0.0,0.0
2024-11-07 00:00:00+07:00,42000.0,42250.0,41700.0,41700.0,1236300,0.0,0.0
2024-11-08 00:00:00+07:00,41800.0,41800.0,41000.0,41050.0,2191200,0.0,0.0
2024-11-11 00:00:00+07:00,41050.0,41150.0,40650.0,40800.0,2105400,0.0,0.0
2024-11-12 00:00:00+07:00,41000.0,41500.0,40500.0,40550.0,2485900,0.0,0.0
2024-11-13 00:00:00+07:00,40850.0,41150.0,40500.0,40600.0,2204200,0.0,0.0
2024-11-14 00:00:00+07:00,40650.0,41300.0,40600.0,40700.0,2011800,0.0,0.0
2024-11-15 00:00:00+07:00,40650.0,41050.0,40550.0,40550.0,2310300,0.0,0.0
2024-11-18 00:00:00+07:00,40550.0,40850.0,40350.0,40400.0,6866200,0.0,0.0
2024-11-19 00:00:00+07:00,40400.0,40700.0,40350.0,40350.0,1858400,0.0,0.0
2024-11-20 00:00:00+07:00,40200.0,40650.0,40150.0,40350.0,7381900,0.0,0.0
2024-11-21 00:00:00+07:00,40350.0,40600.0,40300.0,40350.0,1991900,0.0,0.0
2024-11-22 00:00:00+07:00,40350.0,40850.0,40300.0,40450.0,1399800,0.0,0.0
2024-11-25 00:00:00+07:00,40450.0,41000.0,40450.0,41000.0,2015300,0.0,0.0
2024-11-26 00:00:00+07:00,41000.0,41300.0,41000.0,41050.0,8562800,0.0,0.0
2024-11-27 00:00:00+07:00,41050.0,41050.0,40750.0,40750.0,6073200,0.0,0.0
2024-11-28 00:00:00+07:00,41100.0,41200.0,40700.0,40700.0,1236300,0.0,0.0
2024-11-29 00:00:00+07:00,40650.0,40750.0,40500.0,40500.0,2031400,0.0,0.0
2024-12-02 00:00:00+07:00,40550.0,40950.0,40300.0,40350.0,2164000,0.0,0.0
2024-12-03 00:00:00+07:00,40400.0,40600.0,40250.0,40400.0,1959300,0.0,0.0
2024-12-04 00:00:00+07:00,40400.0,40400.0,39800.0,40000.0,4966600,0.0,0.0
2024-12-05 00:00:00+07:00,40800.0,41000.0,40300.0,40850.0,3456100,0.0,0.0
2024-12-06 00:00:00+07:00,40850.0,42300.0,40750.0,41850.0,5327100,0.0,0.0
2024-12-09 00:00:00+07:00,42100.0,42850.0,41850.0,41850.0,12594400,0.0,0.0
2024-12-10 00:00:00+07:00,41850.0,41900.0,41200.0,41200.0,4113900,0.0,0.0
2024-12-11 00:00:00+07:00,41200.0,41400.0,40900.0,41300.0,9319100,0.0,0.0
2024-12-12 00:00:00+07:00,41300.0,41350.0,40900.0,40900.0,2146200,0.0,0.0
2024-12-13 00:00:00+07:00,40750.0,40900.0,40600.0,40800.0,2183200,0.0,0.0
2024-12-16 00:00:00+07:00,40800.0,40900.0,40600.0,40700.0,4861200,0.0,0.0
2024-12-17 00:00:00+07:00,40700.0,40800.0,40550.0,40550.0,1560900,0.0,0.0
2024-12-18 00:00:00+07:00,40550.0,40850.0,40550.0,40600.0,7903000,0.0,0.0
2024-12-19 00:00:00+07:00,40300.0,40400.0,40100.0,40300.0,2511800,0.0,0.0
2024-12-20 00:00:00+07:00,40300.0,40500.0,40250.0,40500.0,1694200,0.0,0.0
2024-12-23 00:00:00+07:00,40500.0,40850.0,40500.0,40600.0,3524700,0.0,0.0
2024-12-24 00:00:00+07:00,40500.0,40600.0,40350.0,40600.0,7374500,0.0,0.0
2024-12-25 00:00:00+07:00,40600.0,41050.0,40550.0,40650.0,1933100,0.0,0.0
2024-12-26 00:00:00+07:00,40700.0,41000.0,40650.0,40650.0,977500,0.0,0.0
2024-12-27 00:00:00+07:00,40700.0,40900.0,40550.0,40550.0,1497700,0.0,0.0
2024-12-30 00:00:00+07:00,40350.0,40600.0,40300.0,40550.0,1415300,0.0,0.0
2024-12-31 00:00:00+07:00,40550.0,40600.0,40300.0,40550.0,1870400,0.0,0.0
2025-01-02 00:00:00+07:00,40500.0,40550.0,40300.0,40550.0,1340500,0.0,0.0
2025-01-03 00:00:00+07:00,40550.0,40550.0,40150.0,40500.0,1915100,0.0,0.0
2025-01-06 00:00:00+07:00,40400.0,40500.0,40300.0,40500.0,9114300,0.0,0.0
2025-01-07 00:00:00+07:00,40300.0,40550.0,40200.0,40500.0,2051000,0.0,0.0
2025-01-08 00:00:00+07:00,40400.0,40550.0,40300.0,40500.0,1025800,0.0,0.0
2025-01-09 00:00:00+07:00,40550.0,41000.0,40500.0,40750.0,1273900,0.0,0.0
2025-01-10 00:00:00+07:00,40750.0,40900.0,40400.0,40500.0,1104600,0.0,0.0
2025-01-13 00:00:00+07:00,39700.0,40350.0,39700.0,40300.0,5486700,0.0,0.0
2025-01-14 00:00:00+07:00,40200.0,40200.0,39800.0,40200.0,2326300,0.0,0.0
2025-01-15 00:00:00+07:00,40300.0,40350.0,40000.0,40250.0,6296600,0.0,0.0
2025-01-16 00:00:00+07:00,40300.0,40650.0,40100.0,40450.0,52883750,0.0,0.0
2025-01-17 00:00:00+07:00,40500.0,40550.0,40250.0,40450.0,2493821,0.0,0.0
2025-01-20 00:00:00+07:00,40300.0,40450.0,40250.0,40400.0,670200,0.0,0.0
2025-01-21 00:00:00+07:00,40550.0,40550.0,40300.0,40450.0,1645739,0.0,0.0
2025-01-22 00:00:00+07:00,40500.0,40500.0,40100.0,40400.0,15240200,0.0,0.0
2025-01-23 00:00:00+07:00,40400.0,40650.0,40250.0,40400.0,1599100,0.0,0.0
2025-01-24 00:00:00+07:00,40250.0,40500.0,40200.0,40400.0,1558400,0.0,0.0
2025-02-03 00:00:00+07:00,40200.0,40300.0,39900.0,40050.0,1637100,0.0,0.0
2025-02-04 00:00:00+07:00,40050.0,40200.0,39850.0,40100.0,1440900,0.0,0.0
2025-02-05 00:00:00+07:00,40200.0,40450.0,40050.0,40050.0,1420700,0.0,0.0
2025-02-06 00:00:00+07:00,40350.0,40550.0,40050.0,40450.0,1684600,0.0,0.0
2025-02-07 00:00:00+07:00,40500.0,40700.0,40250.0,40650.0,1480000,0.0,0.0
2025-02-10 00:00:00+07:00,40350.0,40350.0,40000.0,40000.0,9329700,0.0,0.0
2025-02-11 00:00:00+07:00,40000.0,40100.0,39850.0,39950.0,1522000,0.0,0.0
2025-02-12 00:00:00+07:00,39950.0,40100.0,39900.0,39900.0,8583900,0.0,0.0
2025-02-13 00:00:00+07:00,39900.0,40300.0,39850.0,40250.0,1138900,0.0,0.0
2025-02-14 00:00:00+07:00,40500.0,40500.0,40200.0,40250.0,5072800,0.0,0.0
2025-02-17 00:00:00+07:00,40250.0,40400.0,40050.0,40100.0,5907700,0.0,0.0
2025-02-18 00:00:00+07:00,40100.0,40450.0,39900.0,40200.0,7449000,0.0,0.0
2025-02-19 00:00:00+07:00,40200.0,40500.0,40050.0,40400.0,18000300,0.0,0.0
2025-02-20 00:00:00+07:00,40450.0,41250.0,40400.0,40950.0,2936300,0.0,0.0
2025-02-21 00:00:00+07:00,40950.0,40950.0,40650.0,40650.0,2638100,0.0,0.0
2025-02-24 00:00:00+07:00,40350.0,40650.0,40350.0,40600.0,4126100,0.0,0.0
2025-02-25 00:00:00+07:00,40700.0,41150.0,40650.0,40700.0,1879300,0.0,0.0
2025-02-26 00:00:00+07:00,41000.0,41100.0,40800.0,41000.0,1364900,0.0,0.0
2025-02-27 00:00:00+07:00,41200.0,41200.0,40750.0,41050.0,1527600,0.0,0.0
2025-02-28 00:00:00+07:00,41050.0,41600.0,40700.0,41200.0,2771000,0.0,0.0
2025-03-03 00:00:00+07:00,41300.0,42400.0,41200.0,42050.0,2943500,0.0,0.0
2025-03-04 00:00:00+07:00,42450.0,42500.0,41800.0,41950.0,3056500,0.0,0.0
2025-03-05 00:00:00+07:00,42050.0,42500.0,42000.0,42250.0,7809700,0.0,0.0
2025-03-06 00:00:00+07:00,42300.0,42550.0,42050.0,42350.0,2762200,0.0,0.0
2025-03-07 00:00:00+07:00,42300.0,45300.0,42250.0,45300.0,11608700,0.0,0.0
2025-03-10 00:00:00+07:00,45900.0,47900.0,45800.0,47300.0,12630000,0.0,0.0
2025-03-11 00:00:00+07:00,46900.0,47300.0,46500.0,47300.0,24084000,0.0,0.0
2025-03-12 00:00:00+07:00,47350.0,48250.0,47350.0,48100.0,7003400,0.0,0.0
2025-03-13 00:00:00+07:00,48300.0,51400.0,47500.0,51400.0,16501000,0.0,0.0
2025-03-14 00:00:00+07:00,51800.0,52800.0,51400.0,52200.0,8422600,0.0,0.0
2025-03-17 00:00:00+07:00,52500.0,52700.0,50800.0,52100.0,6631300,0.0,0.0
2025-03-18 00:00:00+07:00,52100.0,52700.0,51100.0,51300.0,7940099,0.0,0.0
2025-03-19 00:00:00+07:00,50800.0,52500.0,49200.0,51900.0,10476000,0.0,0.0
2025-03-20 00:00:00+07:00,52000.0,53200.0,50700.0,51500.0,6629100,0.0,0.0
2025-03-21 00:00:00+07:00,51600.0,53000.0,51000.0,53000.0,7620300,0.0,0.0
2025-03-24 00:00:00+07:00,53000.0,56700.0,52700.0,56700.0,13829000,0.0,0.0
2025-03-25 00:00:00+07:00,57700.0,59200.0,56600.0,56900.0,38025550,0.0,0.0
2025-03-26 00:00:00+07:00,57800.0,58000.0,55700.0,57000.0,8597700,0.0,0.0
2025-03-27 00:00:00+07:00,57500.0,58700.0,56600.0,57100.0,30716750,0.0,0.0
2025-03-28 00:00:00+07:00,57000.0,58300.0,56900.0,58000.0,5542600,0.0,0.0
2025-03-31 00:00:00+07:00,57800.0,58500.0,57300.0,58000.0,25157060,0.0,0.0
2025-04-01 00:00:00+07:00,58700.0,60800.0,58200.0,59700.0,7757400,0.0,0.0
2025-04-02 00:00:00+07:00,60500.0,61200.0,59500.0,60400.0,16069060,0.0,0.0
2025-04-03 00:00:00+07:00,58200.0,59800.0,56200.0,56200.0,19235900,0.0,0.0
2025-04-04 00:00:00+07:00,54200.0,59500.0,53400.0,58300.0,14551100,0.0,0.0
2025-04-08 00:00:00+07:00,58000.0,58000.0,54300.0,55100.0,16867200,0.0,0.0
2025-04-09 00:00:00+07:00,52100.0,58400.0,52100.0,57000.0,13002500,0.0,0.0
2025-04-10 00:00:00+07:00,60900.0,60900.0,60900.0,60900.0,3834700,0.0,0.0
2025-04-11 00:00:00+07:00,59700.0,65100.0,59700.0,65100.0,13393300,0.0,0.0
2025-04-14 00:00:00+07:00,66500.0,69600.0,66000.0,69600.0,12227100,0.0,0.0
2025-04-15 00:00:00+07:00,70400.0,74400.0,70000.0,70500.0,15544700,0.0,0.0
2025-04-16 00:00:00+07:00,70600.0,72000.0,67400.0,67900.0,14021700,0.0,0.0
2025-04-17 00:00:00+07:00,67700.0,71000.0,67200.0,71000.0,72938850,0.0,0.0
2025-04-18 00:00:00+07:00,71800.0,71800.0,66100.0,66100.0,10665700,0.0,0.0
2025-04-21 00:00:00+07:00,64100.0,67400.0,61500.0,61500.0,15468900,0.0,0.0
2025-04-22 00:00:00+07:00,62000.0,62700.0,58000.0,59000.0,17678600,0.0,0.0
2025-04-23 00:00:00+07:00,60000.0,60300.0,58300.0,58600.0,18984200,0.0,0.0
2025-04-24 00:00:00+07:00,58900.0,62700.0,58600.0,62700.0,8730000,0.0,0.0
2025-04-25 00:00:00+07:00,64400.0,67000.0,64000.0,67000.0,14949000,0.0,0.0
2025-04-28 00:00:00+07:00,67800.0,69000.0,66700.0,68000.0,7023300,0.0,0.0
2025-04-29 00:00:00+07:00,67000.0,68000.0,63800.0,68000.0,16029900,0.0,0.0
2025-05-05 00:00:00+07:00,68900.0,72400.0,68000.0,70000.0,4415965,0.0,0.0
2025-05-06 00:00:00+07:00,70600.0,71800.0,69400.0,70500.0,5717679,0.0,0.0
2025-05-07 00:00:00+07:00,70600.0,74000.0,70400.0,73400.0,15782890,0.0,0.0
2025-05-08 00:00:00+07:00,75200.0,78500.0,74200.0,78500.0,7245570,0.0,0.0
2025-05-09 00:00:00+07:00,80000.0,80900.0,75500.0,76500.0,7051555,0.0,0.0
2025-05-12 00:00:00+07:00,78400.0,80200.0,77000.0,79400.0,8041846,0.0,0.0
2025-05-13 00:00:00+07:00,80500.0,80500.0,76700.0,79600.0,11760760,0.0,0.0
2025-05-14 00:00:00+07:00,79100.0,82500.0,78400.0,79800.0,6805491,0.0,0.0
2025-05-15 00:00:00+07:00,79000.0,79900.0,77200.0,79800.0,8937212,0.0,0.0
2025-05-16 00:00:00+07:00,78700.0,80900.0,78700.0,80000.0,4665822,0.0,0.0
2025-05-19 00:00:00+07:00,80100.0,85600.0,80000.0,85600.0,9173088,0.0,0.0
2025-05-20 00:00:00+07:00,88500.0,91500.0,88500.0,91500.0,3893646,0.0,0.0
2025-05-21 00:00:00+07:00,97900.0,97900.0,89900.0,93500.0,7294674,0.0,0.0
2025-05-22 00:00:00+07:00,93000.0,98500.0,91800.0,92500.0,6576638,0.0,0.0
2025-05-23 00:00:00+07:00,92000.0,96300.0,91800.0,93000.0,4202084,0.0,0.0
2025-05-26 00:00:00+07:00,93200.0,95300.0,87000.0,94500.0,4826835,0.0,0.0
2025-05-27 00:00:00+07:00,94700.0,95000.0,91500.0,94500.0,6657666,0.0,0.0
2025-05-28 00:00:00+07:00,93000.0,98300.0,93000.0,97000.0,6422060,0.0,0.0
2025-05-29 00:00:00+07:00,97200.0,99000.0,96100.0,97000.0,4785932,0.0,0.0
2025-05-30 00:00:00+07:00,97100.0,99000.0,96300.0,98400.0,3280608,0.0,0.0
