,FPT,VNM,VCB
0,0.2766305486,0.2662589472,0.1756325908
1,0.2869088635,0.2936214847,0.1873163957
2,0.2748693607,0.2968920579,0.1939126694
3,0.2774659628,0.3013055891,0.1951290992
4,0.2720626617,0.2886003076,0.1997346761
5,0.2809692595,0.2883642068,0.2197388427
6,0.2666664749,0.2683231232,0.2263474527
7,0.2650069693,0.2611320803,0.2301971451
