,ticker,yearReport,lengthReport,CURRENT ASSETS (Bn. VND),Cash and cash equivalents (Bn. VND),Short-term investments (Bn. VND),Accounts receivable (Bn. VND),Net Inventories,Other current assets,LONG-TERM ASSETS (Bn. VND),Long-term loans receivables (Bn. VND),Fixed assets (Bn. VND),Investment in properties,Long-term investments (Bn. VND),Goodwill,Other non-current assets,TOTAL ASSETS (Bn. VND),LIABILITIES (Bn. VND),Current liabilities (Bn. VND),Long-term liabilities (Bn. VND),OWNER'S EQUITY(Bn.VND),Capital and reserves (Bn. VND),Other Reserves,Undistributed earnings (Bn. VND),MINORITY INTERESTS,TOTAL RESOURCES (Bn. VND),Prepayments to suppliers (Bn. VND),Short-term loans receivables (Bn. VND),"Inventories, Net (Bn. VND)",Other current assets (Bn. VND),Investment and development funds (Bn. VND),Common shares (Bn. VND),Paid-in capital (Bn. VND),Long-term borrowings (Bn. VND),Advances from customers (Bn. VND),Short-term borrowings (Bn. VND),Good will (Bn. VND),Long-term prepayments (Bn. VND),Other long-term assets (Bn. VND),Other long-term receivables (Bn. VND),Long-term trade receivables (Bn. VND)
0,VNM,2025,1,38407988421683,2538024316626,23170818696485,5469228387577,6979212103573,250704917422,16605801806083,0,12309661362750,53123702862,709385535593,0,1853359584072,55013790227766,17391301675751,16981777958867,409523716884,37622488552015,37622488552015,746826728845,4474317011269,3925281266941,55013790227766,438005266850,0,7015839015752,0,7221110105727,20899554450000,20899554450000,153956088000,123043188304,10060066017395,1015202316174,785471676757,94555479081,17985169594,18364622300
1,VNM,2024,4,37553650065098,2225943732075,23260088671767,6233758612009,5686840161996,147018887251,17495411471963,0,12550564799221,53617793172,1373189677193,0,1960671058977,55049061537061,18874658707398,18459546837640,415111869758,36174402829663,36174402829663,499080803215,3471224745772,3895583288658,55049061537061,566479222775,0,5723932310689,0,7079114621362,20899554450000,20899554450000,157903902450,191336029327,9115435107250,1076022097381,792476015491,94548675081,17193985694,17592137763
2,VNM,2024,3,40582371278735,2616234711174,25982843560980,5606208371600,6103016741628,274067893353,17094709027717,0,11854249093819,54111883464,1279281871385,0,1964819160108,57677080306452,22432804394570,22021271584074,411532810496,35244275911882,35244275911882,499080803215,2870255668807,3873192446288,57677080306452,367957536152,0,6131878698983,0,6863056624805,20899554450000,20899554450000,157809038000,146441611517,8291496866090,1138317394539,794384673697,94519479081,16005712689,16564396401
3,VNM,2024,2,37332761258942,1198562887528,23030876331498,6344861898250,6524270542824,234189598842,16861192929052,0,12295719976946,54605973774,831442109832,0,2028619337197,54193954187994,15856506854537,15403310205136,453196649401,38337447333457,38337447333457,499080803215,6000389351529,3991321826705,54193954187994,339915869823,0,6551775627864,0,6624903112567,20899554450000,20899554450000,183388966131,97078241927,7794314406895,1199157602325,818508689475,102012967081,16830343785,17417281595
4,VNM,2024,1,35013917574413,1788254863348,20268129028720,5868614319329,6780799942377,308119420639,16639952197317,0,12472420651267,55100064084,691579094274,0,2115992745416,51653869771730,15786279136236,15294387986523,491891149713,35867590635494,35867590635494,499080803215,3816256605162,4013420132830,51653869771730,414596137009,0,6807924664755,0,6365526939523,20899554450000,20899554450000,211808624280,148395646131,6616831614710,1260542631131,834078714989,101994859081,16667638485,16667638485
5,VNM,2023,4,35935879621477,2912027359925,20137243800460,6529705184034,6128081805088,228821471970,16737491482983,0,12689652377511,55594154394,831227597345,0,2207961712860,52673371104460,17647627338990,17138689974862,508937364128,35025743765470,35025743765470,499080803215,3926232003987,3328929059319,52673371104460,655619313409,0,6165935294543,0,6163736586996,20899554450000,20899554450000,238476074100,164712782108,8217757172267,1321927659937,871585543337,101975059081,16131990975,16131990975
6,VNM,2023,3,37680161943052,6875567986039,19012123617176,5931433000484,5697772718120,163264621233,17287274060546,0,12056272942904,56088244686,1424817180754,0,2197526932930,54967436003598,20964371994291,20399327964197,565044030094,34003064009307,34003064009307,202658418215,3411311506574,3347498534087,54967436003598,633286108202,0,5723674480049,0,5932206859820,20899554450000,20899554450000,282904335540,200125679398,6873932117860,1383312688743,814214244187,101976499081,16146741451,16146741451
7,VNM,2023,2,33403479517290,1582506692207,19083000543582,6142392930802,6319892419521,275686931178,17565302240360,0,11821447407199,56582334996,1529822285849,0,2248973389561,50968781757650,14308732050657,13742782382772,565949667885,36660049706993,36660049706993,202658418215,6557754122099,3191807512910,50968781757650,762802524795,0,6346256682126,0,5679501872971,20899554450000,20899554450000,279412788750,315814573879,6128144184250,1444697717550,804275672011,101950939081,16225171701,16225171701
8,VNM,2023,1,32394853632375,2011202511723,16801331801284,6619266952011,6704642178199,258410189158,16869931859724,0,11893893630404,57088071395,755781470427,0,2316641242760,49264785492099,14754559329281,14407882880499,346676448782,34510226162818,34510226162818,202658418215,4840235487374,3008635837602,49264785492099,799563355449,0,6731269100954,0,5444399294521,20899554450000,20899554450000,61054012500,376266587860,6889265980740,1506082746356,807403361320,101946619081,38388850315,38388850315
9,VNM,2022,4,31560382174201,2299943527624,17414055328683,6100402870854,5537563396117,208417050923,16922282062019,0,11903207642940,57593807783,742670306431,0,2375257641764,48482664236220,15666145881135,15308423081524,357722799611,32816518355085,32816518355085,202658418215,3353468092666,2967467051304,48482664236220,589439884812,0,5560169453504,0,5266761584973,20899554450000,20899554450000,66028725000,161708567120,4867129839103,1567467775162,772804663141,101950219081,38422722715,38422722715
10,VNM,2022,3,34373292456500,2867857717514,19533563143705,5954158809895,5777310525795,240402259591,16826610965664,0,11989258352342,58142248159,753081870477,0,2319126246293,51199903422164,17355518040395,16983265249980,372252790415,33844385381769,33844385381769,202658418215,4814830749665,2702967265561,51199903422164,584122702158,0,5792936495639,0,5065071602264,20899554450000,20899554450000,71579812500,239770870256,9405653167691,1628852803968,690273442325,101960299081,16641153195,16641153195
11,VNM,2022,2,36871285863860,4507497088287,18976163363916,6040009761668,7096208618612,251407031377,16970890135803,0,12266369373175,58776096523,750169162022,0,2402251632099,53842175999663,17021656898873,16644210900330,377445998543,36820519100790,36820519100790,202658418215,8119867846747,2684554607037,53842175999663,572608294056,0,7111593809810,0,4822828235270,20899554450000,20899554450000,74459700000,199280096694,9701229190460,1690237832775,705958127692,101938879081,16283088695,16283088695
12,VNM,2022,1,35452395671778,1680858133124,19832829713819,6024628344054,7665947194796,248132285985,17543132559393,0,12453688352626,59409944887,1339527885230,0,2481798452480,52995528231171,18018316689141,17607914154548,410402534593,34977211542030,34977211542030,202658418215,6479377674989,2779254816308,52995528231171,656413782366,0,7709372077826,0,4575217135935,20899554450000,20899554450000,70663500000,116501196540,10942647333716,1751622861581,730175590899,101923219081,16713810495,16713810495
13,VNM,2021,4,36109910649785,2348551874348,21025735779475,5822028742791,6773071634017,140522619154,17222492788434,0,12706598557849,60049893676,743862023831,0,2565263512673,53332403438219,17482289188835,17068416995519,413872193316,35850114249384,35850114249384,202658418215,7594260378375,2766835388433,53332403438219,655822646219,0,6820486391670,0,4352441335060,20899554450000,20899554450000,75636000000,66036392886,9382354118118,1813007890387,725108101375,101921059081,16695104495,16695104495
14,VNM,2021,3,34446542339559,2051857098275,19753142693943,6118496933219,6380809878105,142235736017,17621216868681,0,13058194375719,60963188860,764478911041,0,2597090238065,52067759208240,18192841472371,17766091926204,426749546167,33874917735869,33874917735869,202658418215,5843776925027,2778526982018,52067759208240,866059864322,0,6410434510128,0,4132854408049,20899554450000,20899554450000,80626092834,242584395198,9038248667322,1874392919193,722697318872,101918899081,25407409661,25407409661
15,VNM,2021,2,35042535233833,1663036014269,19971222710510,6370305908925,6842795582767,195175017362,18004133795359,0,13223395767565,62007056833,749939570721,0,2675040006527,53046669029192,18671295879023,18127021271173,544274607850,34375373150169,34375373150169,202658418215,6631020480297,2750729913933,53046669029192,976845401593,0,6876983730958,0,3844015723908,20899554450000,20899554450000,157817900434,360506124003,9481532928054,1935777948000,730264994725,101928259081,25326572715,25326572715
