,id,news_title,news_sub_title,friendly_sub_title,news_image_url,news_source_link,created_at,public_date,updated_at,lang_code,news_id,news_short_content,news_full_content,close_price,ref_price,floor,ceiling,price_change_pct
0,7624376,FPT: Nghị quyết HĐQT về việc phát hành cổ phiếu để tăng vốn và trả cổ tức còn lại năm 2024 bằng tiền mặt,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-nghi-quyet-hdqt-ve-viec-phat-hanh-co-phieu-de-tang-von-va-tra-co-tuc-con-lai-nam-2024-bang-tien-mat/2377812,,1748541496000,,vi,11591101,,"<p>Công ty Cổ phần FPT công bố Nghị quyết HĐQT về việc phát hành cổ phiếu để tăng vốn và trả cổ tức còn lại năm 2024 bằng tiền mặt như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-29/FPT/20250529--FPT--Nghi-quyet-HDQT-so-02.05.2025-ve-viec-phat-hanh-CP-de-tang-von-va-tra-co-tuc-con-lai-nam-2024.pdf"" title=""Tải về"" download>20250529--FPT--Nghi-quyet-HDQT-so-02.05.2025-ve-viec-phat-hanh-CP-de-tang-von-va-tra-co-tuc-con-lai-nam-2024.pdf</a></td></tr></table>",117100,118400,110200,126600,-0.01097973
1,7624378,FPT: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 59,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-59/2377811,,1748541322000,,vi,11591103,,"<p>Công ty Cổ phần FPT công bố Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 59 như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-29/FPT/20250529--FPT--TB-thay-doi-GCN-DKDN-lan-thu-59-ban-CBTT.pdf"" title=""Tải về"" download>20250529--FPT--TB-thay-doi-GCN-DKDN-lan-thu-59-ban-CBTT.pdf</a></td></tr></table>",117100,118400,110200,126600,-0.01097973
2,7568659,FPT: Điều lệ công ty cập nhật sau khi tăng vốn điều lệ,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-dieu-le-cong-ty-cap-nhat-sau-khi-tang-von-dieu-le/2376065,,1747849834000,,vi,11587706,,"<p>Công ty Cổ phần FPT công bố Điều lệ công ty cập nhật sau khi tăng vốn điều lệ như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/FPT/20250520--FPT--Dieu-le-cong-ty-cap-nhat-sau-tang-von-dieu-le.pdf"" title=""Tải về"" download>20250520--FPT--Dieu-le-cong-ty-cap-nhat-sau-tang-von-dieu-le.pdf</a></td></tr></table>",118300,119200,110900,127500,-0.00755034
3,7568622,FPT: Nghị quyết HĐQT về việc tăng Vốn điều lệ sau phát hành ESOP,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-nghi-quyet-hdqt-ve-viec-tang-von-dieu-le-sau-phat-hanh-esop/2376064,,1747849750000,,vi,11587664,,"<p>Công ty Cổ phần FPT công bố Nghị quyết HĐQT về việc tăng Vốn điều lệ sau phát hành ESOP như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-21/FPT/20250520--FPT--Nghi-quyet-HDQT-01.05.2025-ve-viec-tang-von-sau-phat-hanh-ESOP.pdf"" title=""Tải về"" download>20250520--FPT--Nghi-quyet-HDQT-01.05.2025-ve-viec-tang-von-sau-phat-hanh-ESOP.pdf</a></td></tr></table>",118300,119200,110900,127500,-0.00755034
4,7498391,FPT: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành (bản điều chỉnh),,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-thong-bao-thay-doi-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-ban-dieu-chinh/2373568,,1747071660000,,vi,11570123,,"<p>Công ty Cổ phần FPT thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành (bản điều chỉnh) như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-12/FPT/20250512--FPT--Thong-bao-thay-doi-SLCP-co-quyen-bieu-quyet-sau-phat-hanh-ESOP-ban-dieu-chinh.pdf"" title=""Tải về"" download>20250512--FPT--Thong-bao-thay-doi-SLCP-co-quyen-bieu-quyet-sau-phat-hanh-ESOP-ban-dieu-chinh.pdf</a></td></tr></table>",118300,116000,107900,124100,0.01982759
5,7490094,FPT: Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (cán bộ cấp cao),,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-bao-cao-ket-qua-phat-hanh-co-phieu-theo-chuong-trinh-lua-chon-cho-nguoi-lao-dong-can-bo-cap-cao/2373507,,1747049054000,,vi,11569474,,"<p>Công ty Cổ phần FPT công bố Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động (cán bộ cấp cao) như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-12/FPT/20250509--FPT--Bao-cao-KQ-phat-hanh-CP-theo-chuong-trinh-lua-chon-cho-CBNV-2024-ban-CBTT.pdf"" title=""Tải về"" download>20250509--FPT--Bao-cao-KQ-phat-hanh-CP-theo-chuong-trinh-lua-chon-cho-CBNV-2024-ban-CBTT.pdf</a></td></tr></table>",118300,116000,107900,124100,0.01982759
6,7490085,FPT: Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-bao-cao-ket-qua-phat-hanh-co-phieu-theo-chuong-trinh-lua-chon-cho-nguoi-lao-dong/2373487,,1747048920000,,vi,11569461,,"<p>Công ty Cổ phần FPT công bố Báo cáo kết quả phát hành cổ phiếu theo chương trình lựa chọn cho người lao động như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-12/FPT/20250509--FPT--Bao-cao-KQ-phat-hanh-CP-theo-chuong-trinh-lua-chon-cho-CBNV-2024-ban-CBTT.pdf"" title=""Tải về"" download>20250509--FPT--Bao-cao-KQ-phat-hanh-CP-theo-chuong-trinh-lua-chon-cho-CBNV-2024-ban-CBTT.pdf</a></td></tr></table>",118300,116000,107900,124100,0.01982759
7,7490082,FPT: Báo cáo kết quả giao dịch cổ phiếu của người nội bộ mua ESOP,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-bao-cao-ket-qua-giao-dich-co-phieu-cua-nguoi-noi-bo-mua-esop/2373485,,1747048860000,,vi,11569458,,"<p>Công ty Cổ phần FPT công bố Báo cáo kết quả giao dịch cổ phiếu của người nội bộ mua ESOP như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-12/FPT/20250509--FPT--Bao-cao-KQGD-cua-NNB-mua-ESOP-ban-CBTT.pdf"" title=""Tải về"" download>20250509--FPT--Bao-cao-KQGD-cua-NNB-mua-ESOP-ban-CBTT.pdf</a></td></tr></table>",118300,116000,107900,124100,0.01982759
8,7490083,FPT: Thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/vi/tin-tuc/fpt-thong-bao-thay-doi-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh/2373483,,1747048766000,,vi,11569459,,"<p>Công ty Cổ phần FPT thông báo thay đổi số lượng cổ phiếu có quyền biểu quyết đang lưu hành như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-05/2025-05-12/FPT/20250509--FPT--Thong-bao-thay-doi-SLCP-dang-luu-hanh-sau-phat-hanh-ESOP.pdf"" title=""Tải về"" download>20250509--FPT--Thong-bao-thay-doi-SLCP-dang-luu-hanh-sau-phat-hanh-ESOP.pdf</a></td></tr></table>",118300,116000,107900,124100,0.01982759
9,7300947,FPT: Thông báo phát hành cổ phiếu theo chương trình lựa chọn cho LĐCC,,,https://cdn.fiingroup.vn/medialib/127889/I/2024/11/25/16205804004570700_FPT.png,https://www.hsx.vn/Modules/Cms/Web/LoadArticle?id=34f613b7-1068-4152-9caa-061a374efd96,,1745402760000,,vi,11551473,,"<p> Công ty Cổ phần FPT thông báo phát hành cổ phiếu theo chương trình lựa chọn cho LĐCC như sau:</p><table width=""100%"" style='text-align: left;border=0'><tr><td colspan='2'><hr /></td></tr><tr><td colspan='2'>Tài liệu đính kèm</td></tr><tr><td> </td><td><a href=""https://cmsv5.fiingroup.vn/medialib/FG/2025/2025-04/2025-04-23/20250423_20250422-FPT-TB-phat-hanh-co-phieu-theo-chuong-trinh-lua-chon-cho-LDCC-2025.pdf"" title=""Tải về"" download>20250423_20250422-FPT-TB-phat-hanh-co-phieu-theo-chuong-trinh-lua-chon-cho-LDCC-2025.pdf</a></td></tr></table>",110400,110400,102700,118100,0.0
