time,volume,volume_sma20,volume_ratio,volume_class,accumulation,distribution
2024-10-10,9980507,3325952.95,3.0007962078958452,Very High,True,False
2024-10-11,3824418,3357574.65,1.139041837833747,High,False,True
2024-10-14,5616349,3542299.9,1.5855091772438579,Very High,False,True
2024-10-15,2869640,3552938.45,0.8076807522517031,Normal,False,False
2024-10-16,2762322,3421537.1,0.8073336396089348,Normal,False,False
2024-10-17,2584896,3292643.55,0.7850518772370608,Low,False,False
2024-10-18,2175065,3214955.9,0.6765458275804033,Low,False,False
2024-10-21,2688428,3226899.15,0.8331304683011244,Normal,False,False
2024-10-22,6022016,3427139.25,1.7571553300613625,Very High,False,True
2024-10-23,3019672,3353806.9,0.9003714554943518,Normal,False,False
2024-10-24,2281798,3326820.0,0.6858796087555082,Low,False,False
2024-10-25,1843711,3251081.85,0.5671069155026042,Very Low,False,False
2024-10-28,1509996,3174709.2,0.4756328548139149,Very Low,False,False
2024-10-29,2462885,3061249.5,0.8045358602753548,Low,False,False
2024-10-30,1713550,3060636.25,0.5598672498242808,Very Low,False,False
2024-10-31,1244928,3007554.65,0.4139336254455094,Very Low,False,False
2024-11-01,2676189,3067706.2,0.872374610058812,Normal,False,False
2024-11-04,3188263,3160289.6,1.008851530568591,High,False,True
2024-11-05,1663185,3137711.35,0.5300630983790143,Very Low,False,False
2024-11-06,1805646,3096673.2,0.5830922035944897,Low,False,False
2024-11-07,3579749,2776635.3,1.2892398940545056,Very High,False,False
2024-11-08,2110766,2690952.7,0.784393571837959,Low,False,False
2024-11-11,5301235,2675197.0,1.9816241570246975,Very High,True,False
2024-11-12,2921656,2677797.8,1.0910666966714218,High,False,True
2024-11-13,3460835,2712723.45,1.2757787750166718,Very High,True,False
2024-11-14,4743684,2820662.85,1.6817621432494139,Very High,False,True
2024-11-15,6574421,3040630.65,2.1621899391167423,Very High,False,True
2024-11-18,3910975,3101758.0,1.2608897921759208,Very High,False,False
2024-11-19,7652727,3183293.55,2.404028054528619,Very High,False,True
2024-11-20,8474055,3456012.7,2.4519744965057564,Very High,True,False
2024-11-21,3183165,3501081.05,0.9091948899612021,Normal,False,False
2024-11-22,2920914,3554941.2,0.821649033182321,Normal,False,False
2024-11-25,1855059,3572194.35,0.5193051716237108,Very Low,False,False
2024-11-26,4182343,3658167.25,1.1432891702805552,High,True,False
2024-11-27,9826373,4063808.4,2.4180207413321946,Very High,True,False
2024-11-28,4750858,4239104.9,1.120721971282192,High,False,False
2024-11-29,11617080,4686149.45,2.4790246499714175,Very High,True,False
2024-12-02,6629554,4858214.0,1.3646072404385645,Very High,False,True
2024-12-03,5115471,5030828.3,1.0168248039790984,High,True,False
2024-12-04,5618586,5221475.3,1.0760533522010534,High,False,True
2024-12-05,4862983,5285637.0,0.9200372632475519,Normal,False,False
2024-12-06,4554818,5407839.6,0.8422620375056983,Normal,False,False
2024-12-09,4551406,5370348.15,0.847506692838899,Normal,False,False
2024-12-10,3603755,5404453.1,0.6668121516310319,Low,False,False
2024-12-11,4828035,5472813.1,0.8821852513107017,Normal,False,False
2024-12-12,4158310,5443544.4,0.7638975076606337,Low,False,False
2024-12-13,3379800,5283813.35,0.6396516636985294,Low,False,False
2024-12-16,3291100,5252819.6,0.6265396968896476,Low,False,False
2024-12-17,5947500,5167558.25,1.1509304225066064,High,False,True
2024-12-18,2923400,4890025.5,0.5978291933242474,Low,False,False
2024-12-19,4805200,4971127.25,0.9666218059495459,Normal,False,False
2024-12-20,3538900,5002026.55,0.7074932459124992,Low,False,False
2024-12-23,2514800,5035013.6,0.4994624046298505,Very Low,False,False
2024-12-24,2300900,4940941.45,0.46568048281567875,Very Low,False,False
2024-12-25,2513100,4575277.8,0.5492781225218718,Very Low,False,False
2024-12-26,2233300,4449399.9,0.5019328561588721,Very Low,False,False
2024-12-27,2561700,3996630.9,0.6409648686847714,Low,False,False
2024-12-30,1982400,3764273.2,0.5266355268793986,Very Low,False,False
2024-12-31,3603200,3688659.65,0.9768317876657446,Normal,False,False
2025-01-02,3172800,3566370.35,0.8896440045829789,Normal,False,False
2025-01-03,4336100,3540026.2,1.2248779401689174,High,False,True
2025-01-06,3467100,3485640.3,0.9946809485763635,High,False,False
2025-01-07,3453300,3430735.0,1.0065773077780709,High,True,False
2025-01-08,3879900,3444542.25,1.126390596602495,High,False,True
2025-01-09,1714400,3288860.5,0.5212747697872865,Very Low,False,False
2025-01-10,2524700,3207180.0,0.7872024644703447,Low,False,False
2025-01-13,3488800,3212630.0,1.0859638364828816,High,True,False
2025-01-14,2897200,3192935.0,0.9073783211997739,Normal,False,False
2025-01-15,2840900,3037605.0,0.9352433907634469,Normal,False,False
2025-01-16,3568000,3069835.0,1.1622774513939673,High,True,False
2025-01-17,3537000,3006425.0,1.1764803712050027,High,True,False
2025-01-20,2217700,2940365.0,0.754226090978501,Low,False,False
2025-01-21,2480300,2938640.0,0.8440298913783246,Normal,False,False
2025-01-22,2785600,2962875.0,0.9401679112348648,Normal,False,False
2025-01-23,7057800,3190110.0,2.212400199366166,Very High,True,False
2025-01-24,3655700,3261230.0,1.1209574301720517,High,False,True
2025-02-03,12747700,3770530.0,3.3808774893715206,Very High,False,True
2025-02-04,5467700,3944795.0,1.3860542816546868,Very High,True,False
2025-02-05,5204100,4024840.0,1.2929954979576828,Very High,False,False
2025-02-06,3426600,4037530.0,0.8486871924171461,Normal,False,False
2025-02-07,3865900,4014020.0,0.9630993368244304,Normal,False,False
2025-02-10,7749600,4228145.0,1.83286050975073,Very High,False,True
2025-02-11,5361400,4323550.0,1.2400457957002926,High,True,False
2025-02-12,1887400,4223925.0,0.4468355853856307,Very Low,False,False
2025-02-13,2850800,4280745.0,0.665958845948544,Low,False,False
2025-02-14,3251700,4317095.0,0.7532148354391089,Low,False,False
2025-02-17,2466300,4265970.0,0.5781334608541551,Very Low,False,False
2025-02-18,1664400,4204330.0,0.39587758334859535,Very Low,False,False
2025-02-19,3029800,4213775.0,0.7190227290256361,Low,False,False
2025-02-20,3385400,4204645.0,0.8051571535765802,Normal,False,False
2025-02-21,5312600,4293425.0,1.2373804130734787,High,False,True
2025-02-24,7497900,4557435.0,1.6452017417692189,Very High,False,True
2025-02-25,6810400,4773940.0,1.4265784655860778,Very High,False,True
2025-02-26,3323400,4800830.0,0.6922552975214702,Low,False,False
2025-02-27,3421700,4619025.0,0.7407840399218449,Low,False,False
2025-02-28,4694400,4670960.0,1.0050182403617243,High,False,False
2025-03-03,2533900,4160270.0,0.609071045869619,Low,False,False
2025-03-04,3471300,4060450.0,0.8549052444926055,Normal,False,False
2025-03-05,2851100,3942800.0,0.7231155523993101,Low,False,False
2025-03-06,6417100,4092325.0,1.5680817139401195,Very High,True,False
2025-03-07,2954500,4046755.0,0.7300911471042848,Low,False,False
2025-03-10,5323000,3925425.0,1.3560315125113842,Very High,False,True
2025-03-11,5784400,3946575.0,1.4656759341961068,Very High,False,True
2025-03-12,6185000,4161455.0,1.4862590127731767,Very High,False,True
2025-03-13,3610200,4199425.0,0.8596891241062764,Normal,False,False
2025-03-14,16094000,4841540.0,3.3241489278204868,Very High,False,True
2025-03-17,6707000,5053575.0,1.3271792740782515,Very High,False,True
2025-03-18,5508500,5245780.0,1.0500821612801148,High,False,False
2025-03-19,18128400,6000710.0,3.0210425099696536,Very High,False,True
2025-03-20,8203400,6241610.0,1.3143083274988345,Very High,True,False
2025-03-21,6424800,6297220.0,1.0202597336602501,High,True,False
2025-03-24,5090200,6176835.0,0.8240789983867143,Normal,False,False
2025-03-25,5629200,6117775.0,0.9201384490276285,Normal,False,False
2025-03-26,9734600,6438335.0,1.5119747574489366,Very High,False,True
2025-03-27,6464400,6590470.0,0.9808708635347707,High,False,False
2025-03-28,2944800,6502990.0,0.4528378484358733,Very Low,False,False
2025-03-31,5406300,6646610.0,0.8133920901030751,Normal,False,False
2025-04-01,7824300,6864260.0,1.1398606696133304,High,False,True
2025-04-02,3920200,6917715.0,0.5666900125258123,Very Low,False,False
2025-04-03,11484900,7171105.0,1.6015523409572165,Very High,False,True
2025-04-04,21574500,8102105.0,2.6628265123693162,Very High,False,False
2025-04-08,16276400,8649775.0,1.8817136861941495,Very High,False,True
2025-04-09,16893300,9205220.0,1.835186991728606,Very High,True,False
2025-04-10,1005400,8946240.0,0.11238240869907358,Very Low,False,False
2025-04-11,19224000,9726930.0,1.9763687000934518,Very High,True,False
2025-04-14,9217400,9383100.0,0.9823405910626551,High,False,False
2025-04-15,7762400,9435870.0,0.8226480441125196,Normal,False,False
2025-04-16,18032200,10062055.0,1.7920991288558847,Very High,False,True
2025-04-17,8580100,9584640.0,0.8951927250267094,Normal,False,False
2025-04-18,7485500,9548745.0,0.7839250079460705,Low,False,False
2025-04-21,4332300,9444120.0,0.45872987636751755,Very Low,False,False
2025-04-22,9127300,9645975.0,0.946228867480996,Normal,False,False
2025-04-23,5710800,9650055.0,0.5917893732211889,Low,False,False
2025-04-24,7740100,9550330.0,0.8104536701873128,Normal,False,False
2025-04-25,5384100,9496315.0,0.5669672920496003,Very Low,False,False
2025-04-28,3853700,9541760.0,0.4038772721175129,Very Low,False,False
2025-04-29,2945500,9418720.0,0.3127282688093499,Very Low,False,False
2025-05-05,7167600,9385885.0,0.7636573429143869,Low,False,False
2025-05-06,5686200,9474185.0,0.6001782739095763,Low,False,False
2025-05-07,3926800,9096280.0,0.43169295580171235,Very Low,False,False
2025-05-08,12644900,8649800.0,1.4618719507965503,Very High,True,False
2025-05-09,8496900,8260825.0,1.0285776541689238,High,True,False
2025-05-12,8715200,7851920.0,1.1099450834955018,High,True,False
2025-05-13,8565900,8229945.0,1.040821050444444,High,False,False
2025-05-14,12080300,7872760.0,1.5344428129398076,Very High,True,False
2025-05-15,7806300,7802205.0,1.000524851628482,High,False,True
2025-05-16,8012200,7814695.0,1.0252735391464414,High,False,True
2025-05-19,9916700,7408920.0,1.3384811821426066,Very High,False,True
2025-05-20,7911300,7375480.0,1.072648830991339,High,True,False
2025-05-21,6024400,7302425.0,0.8249862203309175,Normal,False,False
2025-05-22,6350700,7403345.0,0.8578149471623976,Normal,False,False
2025-05-23,4440500,7169005.0,0.6194025530739622,Low,False,False
2025-05-26,4023400,7084635.0,0.5679050508600655,Very Low,False,False
2025-05-27,5498200,6972540.0,0.7885505138729932,Low,False,False
2025-05-28,3933600,6900015.0,0.5700857172049626,Very Low,False,False
2025-05-29,2933000,6853980.0,0.42792654778683337,Very Low,False,False
2025-05-30,4038000,6908605.0,0.5844884748802399,Low,False,False
2025-06-02,2916400,6696045.0,0.43554068110354693,Very Low,False,False
