time,Unnamed: 0,open,high,low,close,volume,returns,volatility,volume_sma20,volume_ratio,volume_class,accumulation,distribution,local_min,local_max,rsi,stoch_k,stoch_d,macd,adx,rsi_signal,stoch_signal,macd_signal,volume_signal,swing_signal,swing_strength
2024-06-03,0,58.86,59.73,58.86,59.0,2111127,,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-04,1,59.47,59.67,59.06,59.33,1818442,0.005593220338983018,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-05,2,59.33,59.87,59.26,59.4,1886226,0.0011798415641328663,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-06,3,59.47,60.0,59.4,59.53,1702865,0.002188552188552295,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-07,4,59.6,60.0,59.2,59.2,1131101,-0.0055434234839576435,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-10,5,59.47,59.67,58.8,58.86,2643949,-0.005743243243243268,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-11,6,59.06,59.13,58.26,58.33,2256534,-0.00900441726129797,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-12,7,58.46,59.67,58.19,59.33,2251490,0.017143836790673772,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-13,8,59.47,59.6,59.13,59.13,1603414,-0.0033709758975222215,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-14,9,59.2,59.6,58.53,58.53,2484887,-0.010147133434804667,,,,,False,False,,,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-17,10,58.6,58.73,58.26,58.26,2295281,-0.0046130189646336195,,,,,False,False,56.86,60.0,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-18,11,58.53,59.2,58.26,58.26,1372946,0.0,,,,,False,False,56.86,60.0,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-19,12,58.39,58.53,57.86,57.93,2176749,-0.005664263645726031,,,,,False,False,56.86,60.0,,,,,0.0,0,0,-1,0,-1,Sell
2024-06-20,13,57.93,57.93,57.26,57.53,2654038,-0.0069048852062834065,,,,,False,False,56.86,60.0,28.519353372622874,9.854014598540253,,,0.0,1,0,-1,0,0,Neutral
2024-06-21,14,57.59,57.99,57.19,57.53,1809985,0.0,,,,,False,False,56.86,60.0,28.519353372622874,12.09964412811399,,,0.0,1,0,-1,0,0,Neutral
2024-06-24,15,57.53,58.46,57.19,57.19,2153682,-0.005909960020858751,,,,,False,False,56.86,60.0,25.253540099255474,0.0,7.317886242218081,,0.0,1,1,-1,0,1,Buy
2024-06-25,16,57.32,57.99,57.19,57.19,1567779,0.0,,,,,False,False,56.86,60.0,25.253540099255474,0.0,4.03321470937133,,0.0,1,1,-1,0,1,Buy
2024-06-26,17,57.46,57.73,56.99,56.99,1709970,-0.0034971148802237506,,,,,False,False,56.86,60.0,23.42364342044864,0.0,0.0,,0.0,1,1,-1,0,1,Buy
2024-06-27,18,56.99,57.53,56.99,56.99,1425080,0.0,,,,,False,False,56.86,60.0,23.42364342044864,0.0,0.0,,0.0,1,1,-1,0,1,Buy
2024-06-28,19,57.53,57.53,56.86,56.99,1114085,0.0,,1908481.5,0.5837546761653178,Very Low,False,False,56.86,60.0,23.42364342044864,4.626334519573041,1.5421115065243471,,0.0,1,1,-1,0,1,Buy
2024-07-01,20,57.39,57.66,56.99,57.59,1180816,0.010528162835585109,0.006574677630506882,1861965.95,0.6341770105946353,Low,False,False,56.86,60.0,39.77507775398698,25.97864768683286,10.201660735468634,,0.0,0,0,-1,0,-1,Sell
2024-07-02,21,57.99,59.4,57.66,59.0,2428337,0.024483417259940854,0.008634402366414703,1892460.7,1.2831637666240572,High,True,False,56.86,60.0,60.90301090720563,78.10218978102186,36.23572399580926,,0.0,0,0,-1,1,0,Neutral
2024-07-03,22,58.86,59.33,58.73,59.2,2252635,0.003389830508474523,0.008667656726088812,1910781.15,1.1789079037125734,High,True,False,56.86,60.0,62.89161524942834,85.40145985401466,63.16076577395646,,0.0,0,0,-1,1,0,Neutral
2024-07-04,23,59.26,60.0,58.86,58.86,3062719,-0.005743243243243268,0.0087370146277626,1978773.85,1.54778627178644,Very High,False,True,56.86,60.2,57.53409342083505,63.694267515923556,75.73263905032003,,0.0,0,0,-1,-1,-2,Sell
2024-07-05,24,58.93,59.67,58.86,58.86,1849175,0.0,0.008657157359291972,2014677.55,0.9178515936706596,Normal,False,False,56.86,60.2,57.53409342083505,63.694267515923556,70.92999829528726,,0.0,0,0,-1,0,-1,Sell
2024-07-08,25,58.86,59.33,58.33,58.33,1145562,-0.00900441726129797,0.008795621362273864,1939758.2,0.5905694843821255,Very Low,False,False,56.86,60.2,49.85597611113855,46.81528662420378,58.06794055201696,,0.0,0,0,-1,0,-1,Sell
2024-07-09,26,58.53,59.13,57.99,58.93,1551172,0.010286302074404174,0.008861675887914682,1904490.1,0.814481524477339,Low,False,False,56.86,60.2,56.872803048767814,65.92356687898089,58.81104033970274,,0.0,0,0,-1,0,-1,Sell
2024-07-10,27,59.06,59.67,58.86,59.26,1725458,0.005599864245715125,0.008063929269295184,1878188.5,0.918682017273559,Normal,False,False,56.86,60.2,60.1737487864188,76.43312101910823,63.057324840764295,,23.68532059404858,0,0,-1,0,-1,Sell
2024-07-11,28,59.26,59.47,58.93,58.93,1446841,-0.005568680391495051,0.008126605661292927,1870359.85,0.7735629055553133,Low,False,False,56.86,60.2,55.59148475273953,65.92356687898089,69.42675159235667,,23.153527254495962,0,0,-1,0,-1,Sell
2024-07-12,29,59.0,59.26,58.6,58.6,1374637,-0.005599864245715236,0.007892069088084753,1814847.35,0.7574394617817305,Low,False,False,56.86,60.2,51.378058349983405,55.41401273885356,65.9235668789809,,22.074866152377275,0,0,-1,0,-1,Sell
2024-07-15,30,58.6,59.06,58.53,58.53,1174084,-0.0011945392491468088,0.00782157541674442,1758787.5,0.6675530727845177,Low,False,False,56.99,60.2,50.50364130594051,53.18471337579622,58.17409766454356,,20.95102718940379,0,0,-1,0,-1,Sell
2024-07-16,31,58.6,59.26,58.6,58.8,1535446,0.0046130189646333974,0.007881292620647622,1766912.5,0.8689994552644797,Normal,False,False,57.66,60.2,53.77176613038014,61.78343949044578,56.79405520169852,,20.218297153130482,0,0,-1,0,-1,Sell
2024-07-17,32,59.4,60.2,58.53,58.86,3365241,0.0010204081632654294,0.007747134323538276,1826337.1,1.8426176635189637,Very High,False,False,57.99,60.2,54.490877274135485,59.88023952095802,58.282797462400005,,20.75247078698711,0,0,-1,0,-1,Sell
2024-07-18,33,59.06,59.4,58.8,58.86,1653687,0.0,0.007535496757147567,1776319.55,0.9309625624511085,Normal,False,False,57.99,60.2,54.490877274135485,58.255451713395544,59.973043574933115,0.04696431525494438,21.24848916128255,0,0,1,0,1,Buy
2024-07-19,34,58.86,59.4,58.53,58.53,1325123,-0.005606523955147824,0.007684136163749116,1752076.45,0.7563157418159465,Low,False,False,57.99,61.14,49.5720903900583,34.2519685039371,50.795886579430224,0.021101126650976798,21.16506080664305,0,0,1,0,1,Buy
