time,rsi,stoch_k,stoch_d,macd,adx
2024-06-03,,,,,0.0
2024-06-04,,,,,0.0
2024-06-05,,,,,0.0
2024-06-06,,,,,0.0
2024-06-07,,,,,0.0
2024-06-10,,,,,0.0
2024-06-11,,,,,0.0
2024-06-12,,,,,0.0
2024-06-13,,,,,0.0
2024-06-14,,,,,0.0
2024-06-17,,,,,0.0
2024-06-18,,,,,0.0
2024-06-19,,,,,0.0
2024-06-20,46.516987633975106,21.899736147757217,,,0.0
2024-06-21,46.516987633975106,21.899736147757217,,,0.0
2024-06-24,41.92445981212278,9.762532981530278,17.854001759014903,,0.0
2024-06-25,41.92445981212278,10.249307479224308,13.9705255361706,,0.0
2024-06-26,39.19286198959739,2.777777777777881,7.596539412844155,,0.0
2024-06-27,40.53404137096432,5.714285714285708,6.247123657095966,,0.0
2024-06-28,43.37357629282272,16.66666666666656,8.386243386243384,,0.0
2024-07-01,49.642999119156634,38.967136150234616,20.449362843728963,,0.0
2024-07-02,52.00658056884476,47.88732394366206,34.50704225352108,,0.0
2024-07-03,52.00658056884476,50.24630541871934,45.700255170872005,,0.0
2024-07-04,54.3602333884447,64.86486486486497,54.33283140908211,,0.0
2024-07-05,62.50190853773033,87.38738738738734,67.4995192236572,,0.0
2024-07-08,65.7881647144258,96.25000000000016,82.83408408408415,,0.0
2024-07-09,64.3117510546138,88.79999999999995,90.81246246246248,,0.0
2024-07-10,54.75445058951286,62.80000000000001,82.61666666666672,,12.69602416560133
2024-07-11,49.18391263111143,44.39999999999998,65.33333333333331,,12.482198065120437
2024-07-12,49.18391263111143,44.39999999999998,50.533333333333324,,11.962964228652895
2024-07-15,48.07411684483008,40.800000000000125,43.200000000000024,,11.879860846317827
2024-07-16,46.81024486940094,36.80000000000007,40.66666666666672,,11.620917099349544
2024-07-17,42.37157556220438,15.94827586206916,31.182758620689782,,10.991163981991544
2024-07-18,45.242941521492895,24.137931034482854,25.62873563218402,-0.09789865403236485,10.552681427483618
2024-07-19,39.0648164159791,7.199999999999989,15.76206896551733,-0.1324615870257232,10.725440192378855
2024-07-22,40.4717327513812,10.800000000000125,14.045977011494317,-0.14179817961143037,10.70943242417101
2024-07-23,47.31309891440116,29.60000000000008,15.866666666666726,-0.11026005214885339,10.155849850711466
2024-07-24,44.06410147174401,18.400000000000034,19.600000000000076,-0.10236766569188438,9.64180888964189
2024-07-25,44.06410147174401,18.400000000000034,22.13333333333338,-0.09160744105682106,9.67291699007082
2024-07-26,46.932011595408156,25.999999999999943,20.933333333333334,-0.0672796317529773,9.18269021923866
2024-07-29,61.401814121220006,77.59999999999991,40.66666666666662,0.03462954689941626,10.512190127176192
2024-07-30,65.06030436206237,78.68852459016378,60.76284153005454,0.12677538860582946,12.453563321701552
2024-07-31,80.62443376846795,94.20970266040682,83.4994090835235,0.409346193484891,16.035713553707854
2024-08-01,69.48289659397399,75.27386541471033,82.72403088842697,0.4872865486016206,19.361995911999422
2024-08-02,73.14867678628289,92.64475743348963,87.37610850286892,0.5798290953971419,22.291648130729463
2024-08-05,59.659988697368576,62.28482003129878,76.73448095983291,0.480707357383492,23.075027745206835
2024-08-06,69.2819104334824,92.75362318840583,82.56106688439807,0.5846429738870068,24.774087396771876
2024-08-07,71.68274169555816,100.0,85.01281440656818,0.678243799139818,26.539554387839466
2024-08-08,66.11768305630315,81.57276995305156,91.44213104715247,0.6300027318025488,28.3986582382822
2024-08-09,67.5931125381238,87.900355871886,89.82437527497918,0.5935064424816519,30.124968956550447
2024-08-12,66.01702146979216,84.5788849347567,84.68400358656476,0.5119633660756255,32.08369459978443
2024-08-13,68.13193642931103,93.35705812574137,88.61209964412802,0.47038760805787017,33.78070780244123
2024-08-14,68.67105440316357,95.56354916067141,91.1664974070565,0.41987023723810957,35.356505776336824
2024-08-15,67.44235527984682,90.80745341614913,93.24268690085397,0.34118895934386284,37.0099148422258
2024-08-16,67.44235527984682,89.62131837307159,91.99744031663072,0.26032741019432337,37.85493276702432
2024-08-19,73.37454245327493,100.0,93.47625726307358,0.311932900646015,39.3733034215416
2024-08-20,70.8529435701095,92.14586255259482,93.92239364188879,0.2893493921445396,40.84983757055979
2024-08-21,68.92260593700814,88.21879382889216,93.45488546049565,0.2265336251616381,41.96091622087796
2024-08-22,62.26738010547487,73.91304347826085,84.75923328658261,0.09405257711446358,41.21574448477959
2024-08-23,64.61241799630989,78.95652173913054,80.36278634876118,0.031212689717548203,40.52379930125967
2024-08-26,56.522560719532336,29.919137466307312,60.929567561232886,-0.11494247084352827,38.761195463565585
2024-08-27,56.94026230984812,32.61455525606458,47.1634048205008,-0.21030603928241876,36.498657246463736
2024-08-28,58.52787607788911,37.90087463556851,33.47818911931346,-0.25112520670256,34.552063249500904
2024-08-29,56.2927074312736,25.149700598802152,31.888376830145074,-0.30226989813974625,32.744511680892565
2024-08-30,58.01926954502779,36.22754491017957,33.092706714850074,-0.3092913332885969,31.68225918907636
2024-09-04,59.732317878491216,47.305389221556986,36.22754491017957,-0.28758415346078325,30.392733800161693
2024-09-05,61.42737188278075,58.383233532934405,47.305389221556986,-0.24835289810933925,29.859435755877993
2024-09-06,64.27264577949092,77.84431137724559,61.17764471057899,-0.18175946658915976,29.431771604603842
2024-09-09,60.155648179891955,61.077844311377206,65.7684630738524,-0.17831199748943916,28.36252012374664
2024-09-10,60.59253814092385,63.77245508982043,67.56487025948108,-0.1727360257285866,27.68295574631146
2024-09-11,58.445419774997426,57.09876543209868,60.64968827776544,-0.18933708665823934,26.60765537049658
