,ticker,yearReport,lengthReport,Revenue YoY (%),Revenue (Bn. VND),Attribute to parent company (Bn. VND),Attribute to parent company YoY (%),Financial Income,Interest Expenses,Sales,Sales deductions,Net Sales,Cost of Sales,Gross Profit,Financial Expenses,Gain/(loss) from joint ventures,Selling Expenses,General & Admin Expenses,Operating Profit/Loss,Other income,Net income from associated companies,Other Income/Expenses,Net other income/expenses,Profit before tax,Business income tax - current,Business income tax - deferred,Net Profit For the Year,Minority Interest,Attributable to parent company
0,VNM,2025,1,-0.08208809994317143,12965404856436,1568482188101,-0.2853210930469386,366337215645,-75155207673,12965404856436,-30899523580,12934505332856,-7724022892977,5210482439879,-41765368480,16189054400,-3169757183300,-430929441463,1950556716681,48165047774,0,-47425568932,739478842,1951296195523,-326819068821,-37203858648,1587273268054,18791079953,1568482188101
1,VNM,2024,4,-0.009302825590283347,15485051436522,2123649268482,-0.08700063501693599,394631907537,-66109861870,15485051436522,-7978311081,15477073125441,-9267382480456,6209690644985,-140107172656,23396009808,-3351121538996,-554570624982,2581919225696,121552139821,0,-60102594612,61449545209,2643368770905,-555142311297,58564884369,2146791343977,23142075495,2123649268482
2,VNM,2024,3,-0.008467768865269431,15548707382507,2403519104884,-0.03560428013472952,430476492135,-62624826693,15548707382507,-11370069034,15537337313473,-9135891859183,6401445454290,-97962433824,-5059420447,-3336422575566,-421729399873,2970748116715,37227938682,0,-66174414919,-28946476237,2941801640478,-573837659232,35189074022,2403153055268,-366049616,2403519104884
3,VNM,2024,2,0.09546487994054881,16665240843085,2670475017284,0.21450856537150517,373183676511,-64294446778,16665240843085,-9453070612,16655787772473,-9588268993189,7067518779284,-87679063003,3339877558,-3574887401068,-455702658579,3325773210703,34843947651,0,-51974230124,-17130282473,3308642928230,-614203629137,1525922021,2695965221114,25490203830,2670475017284
4,VNM,2024,1,0.012245261965169237,14124890259766,2194666965600,0.18200444627520718,387368759884,-86395425954,14124890259766,-12478942708,14112411317058,-8200889872493,5911521444565,-102489879376,10326196929,-3095275281176,-395914155553,2715537085273,37007652440,0,-46704335991,-9696683551,2705840401722,-497675570285,-1181461848,2206983369589,12316403989,2194666965600
5,VNM,2023,4,0.03645218508373689,15630458869279,2326013960066,0.24443964353808442,428868705495,-96231603161,15630458869279,-11747924789,15618710944490,-9177098353000,6441612591490,-118785839541,-28037460234,-3493712827314,-504122733414,2725822436482,240821530736,0,-114579366839,126242163897,2852064600379,-527166047542,25806937118,2350705489955,24691529889,2326013960066
6,VNM,2023,3,-0.025637866435507,15681494654705,2492254015001,0.08434354339244318,483829853834,-79600679532,15681494654705,-44506970023,15636987684682,-9082087041307,6554900643375,-110138422955,-27632597830,-3382491600883,-432197136598,3086270738943,37955648630,0,-48436566422,-10480917792,3075789821151,-548401617475,5876182583,2533264386259,41010371258,2492254015001
7,VNM,2023,2,0.01694775378652382,15212939408874,2198811184561,0.055607829067686736,383963944773,-95970637757,15212939408874,-18114453181,15194824955693,-9044632886807,6150192068886,-115957689789,-11201004578,-3199738372776,-430514547776,2776744398740,33520380483,0,-82266235220,-48745854737,2727998544003,-494907485041,-3933169203,2229157889759,30346705198,2198811184561
8,VNM,2023,1,0.0009717734315233455,13954019633882,1856733257236,-0.180437681863227,419705072231,-82291916805,13954019633882,-35627707242,13918391926640,-8520365614981,5398026311659,-158240818929,-13760236004,-2942150310906,-388784710409,2314795307642,41111331702,0,-43860213391,-2748881689,2312046425953,-377888254570,-27931772305,1906226399078,49493141842,1856733257236
9,VNM,2022,4,-0.04759092042119008,15080733191774,1869125571613,-0.1488516585031422,379190751224,-53226546796,15080733191774,-12078534321,15068654657453,-9223066245408,5845588412045,-207242758610,-4556583050,-3335004548411,-448926418471,2229048854727,148365579501,0,-82172192394,66193387107,2295242241834,-469246818237,43126134573,1869121558170,-4013443,1869125571613
10,VNM,2022,3,-0.007043134096274394,16094113384043,2298398907051,-0.21442858962836475,338615402043,-49942302240,16094113384043,-14621959913,16079491424130,-9729311781833,6350179642297,-142793205373,4691288456,-3260867271142,-400896379672,2888929476609,41224997384,0,-70271306667,-29046309283,2859883167326,-534337235466,-2673735355,2322872196505,24473289454,2298398907051
11,VNM,2022,2,-0.04891511864959599,14959410994547,2082981126147,-0.2652077121610367,341814888660,-36701642341,14959410994547,-29135701910,14930275292637,-8853615491038,6076659801599,-135024600156,10625616792,-3316046469903,-377093511787,2600935725205,50244850545,0,-75122932001,-24878081456,2576057643749,-490431693598,16640960424,2102266910575,19285784428,2082981126147
12,VNM,2022,1,0.052848925814922884,13940472652935,2265518089530,-0.1205002101757945,320283365813,-26168600367,13940472652935,-62646829737,13877825823198,-8253022172432,5624803650766,-132476618856,-35236298601,-2636293957415,-368929371148,2772150770559,49186371697,0,-56985518420,-7799146723,2764351623836,-462232548984,-18804420394,2283314654458,17796564928,2265518089530
13,VNM,2021,4,0.09732580565533734,15834302208084,2196004480636,0.004958180886285975,322834761317,-23446278323,15834302208084,-15265654814,15819036553270,-9093719773053,6725316780217,-90231210378,-31165337137,-3871026713824,-416643351347,2639084928848,122743257794,0,-73791162679,48952095115,2688037023963,-504424655028,28994247115,2212606616050,16602135414,2196004480636
14,VNM,2021,3,0.040510458764390994,16208270405981,2925766998017,-0.049193002363289065,314242042431,-24374567105,16208270405981,-14218402422,16194052003559,-9250304913128,6943747090431,-63549064354,14548700320,-3307900301066,-394043756702,3507044711060,142312452646,0,-62753873794,79558578852,3586603289912,-623139563848,-2737563151,2960726162913,34959164896,2925766998017
15,VNM,2021,2,0.014133212873940895,15728786449961,2834789042592,-0.07713121246657846,292767071141,-28072255034,15728786449961,-12980283496,15715806166465,-8861448981220,6854357185245,-42133666112,-19582360879,-3185812099703,-389330729464,3510265400228,37278305250,0,-53858755239,-16580449989,3493684950239,-633974149435,2558664410,2862269465214,27480422622,2834789042592
