Error,Frequency
-0.06258482211513305,1
-0.05553012204253517,2
-0.048475421969937274,0
-0.04142072189733938,1
-0.03436602182474148,0
-0.02731132175214359,1
-0.0202566216795457,0
-0.013201921606947805,5
-0.006147221534349915,5
0.000907478538247975,4
0.007962178610845872,7
0.01501687868344377,3
0.022071578756041654,3
0.029126278828639548,0
0.03618097890123745,1
0.04323567897383533,0
0.05029037904643323,0
0.057345079119031125,1
0.06439977919162901,0
0.0714544792642269,1
