Index,Direction_Accuracy,MSE
10,0.3,0.0023054730540188733
11,0.2,0.0023074601129303807
12,0.2,0.0017649640513931627
13,0.2,0.0017617510993823593
14,0.2,0.001339277765708588
15,0.3,0.0010367830681396934
16,0.4,0.0007752485369999451
17,0.4,0.0006588697319566137
18,0.4,0.0001694331690461333
19,0.5,0.00015027227196214634
20,0.4,0.00013174700143375279
21,0.5,0.00027613398765381666
22,0.6,0.0002658126724128729
23,0.6,0.00032323925399729
24,0.6,0.00031209638822180766
25,0.6,0.0006302451501561011
26,0.5,0.0005936043643472054
27,0.6,0.0006436040758270835
28,0.7,0.0006619420660637856
29,0.7,0.0006614106615129904
30,0.7,0.0006618936237081744
31,0.7,0.0005209196115657222
32,0.7,0.0005120955373446908
33,0.8,0.00045011851663624746
34,0.8,0.00045859007712814793
35,0.7,0.00015344107628382315
