Index,True,Predicted,Error
0,-0.004405286343612335,-0.0023852681903680437,0.0020200181532442915
1,-0.06991150442477881,0.005070324875747052,0.07498182930052585
2,0.0019029495718363735,-0.006959107930551812,-0.008862057502388186
3,0.06932573599240263,0.003213563840970635,-0.066112172151432
4,0.05239786856127892,-0.002605289912983301,-0.05500315847426222
5,0.0,0.05598681235337037,0.05598681235337037
6,-0.02109704641350211,0.013481430677436932,0.034578477090939044
7,-0.0698275862068965,0.002093154976108521,0.07192074118300502
8,0.013901760889712697,-0.0005360249482494342,-0.014437785837962132
9,0.02010968921389386,0.004539344899803556,-0.015570344314090306
10,0.0008960573476703273,-0.003997924921862987,-0.004893982269533314
11,-0.011638316920322266,0.0024085371716451474,0.014046854091967414
12,0.0,0.006812234807139339,0.006812234807139339
13,0.014492753623188354,0.002406150715718176,-0.012086602907470177
14,0.003571428571428622,0.004204252761754807,0.0006328241903261851
15,-0.02580071174377229,-0.0030152372897693904,0.0227854744540029
16,-0.0009132420091323681,0.0047332637683624255,0.005646505777494794
17,-0.007312614259597909,0.009367535116471551,0.01668014937606946
18,0.010128913443830649,0.006025172581764609,-0.00410374086206604
19,0.0,0.007561938691591515,0.007561938691591515
20,0.04193254329990879,0.003620392164072717,-0.038312151135836074
21,0.014873140857392851,0.005172576055713307,-0.009700564801679544
22,0.01982758620689653,-0.0050857106225432065,-0.024913296829439734
23,0.010143702451394784,0.004256656325531461,-0.005887046125863322
24,0.05690376569037654,0.0004955385794417724,-0.056408227110934774
25,-0.010292953285827373,0.0020670624101602635,0.012360015695987636
26,-0.032,-0.008937473202312295,0.023062526797687707
27,-0.023140495867768573,-0.001655447914016848,0.021485047953751724
28,0.008460236886632826,0.0050651457899111175,-0.003395091096721708
29,-0.007550335570469846,0.0003244684732653981,0.007874804043735244
30,-0.01267962806424345,-0.005058551812779695,0.007621076251463754
31,0.002568493150684907,0.00014770500190584173,-0.0024207881487790656
32,0.0017079419299744051,0.0007581251964200605,-0.0009498167335543447
33,0.01449275362318843,0.0035669622556468135,-0.010925791367541616
34,-0.005042016806722642,0.00637718094774099,0.011419197754463633
35,-0.010979729729729826,-4.543958809502828e-05,0.010934290141634797
