Horizon,MSE,MAE,Direction_Accuracy
1,0.0005500220649206874,0.013574565037162159,44.44444444444444
2,0.0015089722778293283,0.02453773061386124,36.11111111111111
3,0.0020321001483151174,0.029593670114294146,22.22222222222222
